# Gene Family	dlab_reads_ALL_Abundance-CPM	mcav_reads_ALL_Abundance-CPM	ofav_reads_ALL_Abundance-CPM	pstr_reads_ALL_Abundance-CPM
UNMAPPED	988708.0	978496.0	977027.0	990058.0
UNGROUPED	10590.014389222168	20645.071882854987	22904.05012279896	9698.643185422035
UNGROUPED|g__Alteromonas.s__Alteromonas_macleodii	65.62811903999997	110.42600479999997	0.0	10.870889199999997
UNGROUPED|g__Aminobacterium.s__Aminobacterium_colombiense	1.0259987	0.0	0.0	0.0
UNGROUPED|g__Bacillus.s__Bacillus_hisashii	6.066244400000001	0.0	0.0	0.0
UNGROUPED|g__Brachybacterium.s__Brachybacterium_faecium	2.1953909	0.0	0.0	0.0
UNGROUPED|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	182.740708052	61.49699442000001	0.0	540.302319409998
UNGROUPED|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	628.3786631999998	116.1358652999999	32.84633560000002	1015.2094105600038
UNGROUPED|g__Cloacibacterium.s__Cloacibacterium_normanense	0.6993779	0.0	0.0	0.0
UNGROUPED|g__Cutibacterium.s__Cutibacterium_acnes	61.167787390000036	70.37858770000001	0.0	114.06780429999996
UNGROUPED|g__Defluviitoga.s__Defluviitoga_tunisiensis	3.2328546	0.0	0.0	0.0
UNGROUPED|g__Enterococcus.s__Enterococcus_cecorum	3.5728239700000013	0.0	0.0	0.0
UNGROUPED|g__Erythrobacter.s__Erythrobacter_flavus	0.0	45.78587522999996	0.0	4.807890799999999
UNGROUPED|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	41.92714016999995	0.0	0.0
UNGROUPED|g__Fermentimonas.s__Fermentimonas_caenicola	0.5075554	0.0	0.0	0.0
UNGROUPED|g__Lactococcus.s__Lactococcus_lactis	2.936597500000001	0.0	0.0	0.0
UNGROUPED|g__Lawsonella.s__Lawsonella_clevelandensis	0.7133379999999999	0.0	0.0	0.6402692000000001
UNGROUPED|g__Paracoccus.s__Paracoccus_sp	0.0	33.067222099999995	0.0	0.0
UNGROUPED|g__Petrimonas.s__Petrimonas_mucosa	1.3095037999999999	0.0	0.0	0.0
UNGROUPED|g__Prochlorococcus.s__Prochlorococcus_marinus	25.567637000000012	6.074165100000001	0.0	0.0
UNGROUPED|g__Pseudoalteromonas.s__Pseudoalteromonas_shioyasakiensis	6.003600549999997	0.0	0.0	0.0
UNGROUPED|g__Pseudomonas.s__Pseudomonas_alcaliphila	0.040081740000000005	0.0	0.0	0.0
UNGROUPED|g__Pseudomonas.s__Pseudomonas_chengduensis	0.4790266799999999	0.0	0.0	0.0
UNGROUPED|g__Pseudomonas.s__Pseudomonas_indoloxydans	1.2283552500000001	0.0	0.0	0.0
UNGROUPED|g__Pseudomonas.s__Pseudomonas_sihuiensis	0.13862405	0.0	0.0	0.0
UNGROUPED|g__Pseudomonas.s__Pseudomonas_toyotomiensis	0.17470555999999998	0.0	0.0	0.0
UNGROUPED|g__Pseudovibrio.s__Pseudovibrio_denitrificans	213.0602834999996	0.0	0.0	0.0
UNGROUPED|g__Psychrobacter.s__Psychrobacter_immobilis	0.0	1.3175095000000001	0.0	0.0
UNGROUPED|g__Psychrobacter.s__Psychrobacter_pacificensis	0.0	12.682277500000003	0.0	0.0
UNGROUPED|g__Psychrobacter.s__Psychrobacter_piscatorii	0.0	7.10373842	0.0	0.0
UNGROUPED|g__Ruegeria.s__Ruegeria_sp_ANG_S4	1.93008428	0.0	0.0	0.0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	9.466214989999997	0.0	0.0	0.0
UNGROUPED|g__Sulfitobacter.s__Sulfitobacter_sp_HI0054	0.0	6.989636399999999	0.0	0.0
UNGROUPED|g__Tepidimonas.s__Tepidimonas_fonticaldi	0.6880324	0.0	0.0	0.0
UNGROUPED|unclassified	9371.06279420218	20131.686864034884	22871.203787198956	8012.74460197199
1.1.1.127-RXN: (expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]	0.2594049	0.0402066	0.0	0.0643439
1.1.1.127-RXN: (expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]|unclassified	0.2594049	0.0402066	0.0	0.0643439
1.1.1.136-RXN: (expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]	0.0331756	0.0	0.0	0.0
1.1.1.136-RXN: (expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0331756	0.0	0.0	0.0
1.1.1.197-RXN: (expasy) 15-hydroxyprostaglandin dehydrogenase (NADP(+)) [1.1.1.197]	0.0994051	0.0	0.0	0.0
1.1.1.197-RXN: (expasy) 15-hydroxyprostaglandin dehydrogenase (NADP(+)) [1.1.1.197]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0994051	0.0	0.0	0.0
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]	0.5392373	1.22693	0.0	0.24952239999999998
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.033646	0.0	0.0	0.0173238
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0750146	0.0	0.0	0.187626
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.2433514	0.0	0.0	0.0
