Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1 - polya	(1, 0.0007951115735957955)	(2, 0.004435462201441638)	(3, 0.007353106019560442)	(4, 0.01023052496886327)	(5, 0.012378532963636397)	(6, 0.014306645008882188)	(7, 0.01590759478775804)	(8, 0.018166891586255365)	(9, 0.02080430215162287)	(10, 0.027398498979521894)	(15, 0.03838739680846237)	(20, 0.050534770859302955)	(25, 0.0645220304097863)	(30, 0.07940120938481587)	(35, 0.0929551130152551)	(40, 0.10580132712032524)	(45, 0.1185410794059291)	(50, 0.13146962040917592)	(55, 0.14483312632721956)	(60, 0.1580046255381149)	(65, 0.17101281178161737)	(70, 0.18328997807583752)	(75, 0.19557813916753403)	(80, 0.2077386533421878)	(85, 0.22048215994888115)	(90, 0.23253594413827655)	(95, 0.24451920072434796)	(100, 0.2567920763658944)	(105, 0.2695932386178907)	(110, 0.28251480731054274)	(115, 0.294867864523929)	(120, 0.30721260859776)	(125, 0.319063927614115)	(130, 0.3305384736925604)	(135, 0.3417030201153306)	(140, 0.345810515553026)
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005108558339628973)	(4, 0.0009104228642015938)	(5, 0.0013622822239010592)	(6, 0.0018852055185087494)	(7, 0.0023410873650898125)	(8, 0.002842557396328982)	(9, 0.0035786724956613455)	(10, 0.005191421569389883)	(15, 0.00766954165424612)	(20, 0.010123258652020666)	(25, 0.012815911370562112)	(30, 0.015842698666068265)	(35, 0.018924996280540465)	(40, 0.02216899786765289)	(45, 0.02559052520913982)	(50, 0.029144526451927368)	(55, 0.03279453104828904)	(60, 0.036491732824061464)	(65, 0.04037611432272423)	(70, 0.04418433673642875)	(75, 0.04813629601470235)	(80, 0.05217755450174742)	(85, 0.056295776571127054)	(90, 0.060339180384508986)	(95, 0.06445767061968073)	(100, 0.0686965672955083)	(105, 0.07305801573832854)	(110, 0.07746692952635163)	(115, 0.08202279816844911)	(120, 0.08688652113988482)	(125, 0.09197925769777951)	(130, 0.09727499576029884)	(135, 0.1025562528700444)	(140, 0.10553530665455559)
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2 - polya	(1, 0.0014722301986647274)	(2, 0.005691818937460627)	(3, 0.00926378728831931)	(4, 0.012685582795598348)	(5, 0.015183547149070468)	(6, 0.017414686539396613)	(7, 0.01926100801804992)	(8, 0.02180724221410121)	(9, 0.024798631625049302)	(10, 0.03224023235600489)	(15, 0.04428275358213184)	(20, 0.05701580172293304)	(25, 0.07201994595708425)	(30, 0.087783267548689)	(35, 0.1017986845073435)	(40, 0.11509783063528153)	(45, 0.12812720197636043)	(50, 0.14163819908006262)	(55, 0.1556203634804959)	(60, 0.16925686217490393)	(65, 0.18230285979509345)	(70, 0.19468353808506672)	(75, 0.20687033250734693)	(80, 0.21929981697148357)	(85, 0.23216426635041695)	(90, 0.24445886342112405)	(95, 0.25664083085914635)	(100, 0.2693304361416263)	(105, 0.28210424548282764)	(110, 0.29491881602442926)	(115, 0.3070707488937357)	(120, 0.3190902078617414)	(125, 0.33055590446904726)	(130, 0.3416799578572095)	(135, 0.35256882984569426)	(140, 0.35655725967169427)
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2 - polyg	(1, 0.06268643556281725)	(2, 0.06442146823774635)	(3, 0.06552631130122516)	(4, 0.06651316141617711)	(5, 0.06746514997815521)	(6, 0.06851770071217325)	(7, 0.06960645382812568)	(8, 0.0705718506797091)	(9, 0.07178396006003052)	(10, 0.07454016807130122)	(15, 0.0779555275995697)	(20, 0.0810458701878051)	(25, 0.08422417115585142)	(30, 0.08759957398109604)	(35, 0.09108760643902539)	(40, 0.09473063872479229)	(45, 0.09852518468309937)	(50, 0.10220093319550325)	(55, 0.10594560031647852)	(60, 0.10969160826641436)	(65, 0.11348293623521614)	(70, 0.11736463607595785)	(75, 0.1211905574319414)	(80, 0.12503417773020398)	(85, 0.12891480490777724)	(90, 0.13262836479686815)	(95, 0.1363757135757645)	(100, 0.14024561412165354)	(105, 0.14408977075150028)	(110, 0.14818010357850087)	(115, 0.15238923385140463)	(120, 0.15682550055022257)	(125, 0.1616452443317528)	(130, 0.16653337039027027)	(135, 0.1716783992776257)	(140, 0.17459470226678397)
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1 - polya	(1, 0.0008009005806110621)	(2, 0.0041803103475796894)	(3, 0.0068257937985179715)	(4, 0.009440580711523424)	(5, 0.011413530922297016)	(6, 0.013184163042149696)	(7, 0.014540391899909194)	(8, 0.01665147653138051)	(9, 0.01889232380047697)	(10, 0.024675272487586043)	(15, 0.034344960995862664)	(20, 0.04486605984262164)	(25, 0.05558445371045797)	(30, 0.06677752767851013)	(35, 0.07797395035979134)	(40, 0.08904786594877696)	(45, 0.10007517861199186)	(50, 0.11121802188160848)	(55, 0.12268094632403377)	(60, 0.134138289577744)	(65, 0.1454016865236059)	(70, 0.15622556485815686)	(75, 0.1668591246575243)	(80, 0.17768914229966185)	(85, 0.1888816581488425)	(90, 0.1997021877701644)	(95, 0.21054392590860357)	(100, 0.221783044683555)	(105, 0.2330416976190091)	(110, 0.24425458480699969)	(115, 0.25546942541104056)	(120, 0.2666443605157688)	(125, 0.27752293449972737)	(130, 0.28809872899589395)	(135, 0.2983876503921064)	(140, 0.3018390574934993)
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006167213530140931)	(4, 0.0012432097862795405)	(5, 0.0019115571349079354)	(6, 0.002771060197027124)	(7, 0.00351056770177253)	(8, 0.004371466061070483)	(9, 0.005604908767098669)	(10, 0.008354481387572813)	(15, 0.012359821468935382)	(20, 0.01659985053576621)	(25, 0.021106102304305385)	(30, 0.026169077647171763)	(35, 0.031790171861544106)	(40, 0.0378976666724339)	(45, 0.04445891212585803)	(50, 0.05139605063924145)	(55, 0.05853467006523851)	(60, 0.06596072071006115)	(65, 0.07378052421873124)	(70, 0.08177306551813245)	(75, 0.08956077719169095)	(80, 0.09766801191918663)	(85, 0.10598286686688252)	(90, 0.11404517302522195)	(95, 0.12244346674420799)	(100, 0.130931059482635)	(105, 0.13966087581129555)	(110, 0.1481688398885325)	(115, 0.15672870902081953)	(120, 0.1654724783212677)	(125, 0.17437893927275996)	(130, 0.18314642862524716)	(135, 0.19178192286462323)	(140, 0.19653597941211107)
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2 - polya	(1, 0.0016269165104398926)	(2, 0.00593140830692966)	(3, 0.009161521275770442)	(4, 0.012225593880338198)	(5, 0.014435744611501825)	(6, 0.01648264557274996)	(7, 0.017995147714531128)	(8, 0.020251343252593996)	(9, 0.022882873731744628)	(10, 0.029401144032062808)	(15, 0.03969229790376133)	(20, 0.050748074629423025)	(25, 0.06193556740876012)	(30, 0.07359941464492756)	(35, 0.0851178719150677)	(40, 0.0964206162413708)	(45, 0.10746746306508839)	(50, 0.11892927126977067)	(55, 0.1307532986220603)	(60, 0.14227929049696578)	(65, 0.15341599445899584)	(70, 0.16446479469876368)	(75, 0.17555238420010127)	(80, 0.18632938054944573)	(85, 0.19738794786946495)	(90, 0.2082199189276527)	(95, 0.21931001996391206)	(100, 0.23073973633348271)	(105, 0.2419492748082443)	(110, 0.25308263005704534)	(115, 0.26395339037680277)	(120, 0.2747066666741083)	(125, 0.2854197584126653)	(130, 0.295965972608642)	(135, 0.30598755506540315)	(140, 0.30938901052779627)
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2 - polyg	(1, 0.07640647350916682)	(2, 0.07858034651368256)	(3, 0.08047795067680286)	(4, 0.08209928599852769)	(5, 0.08370248245692857)	(6, 0.08536149080248005)	(7, 0.08685166818940099)	(8, 0.08842416810986904)	(9, 0.09041665248114535)	(10, 0.09453556975285937)	(15, 0.09979974694890366)	(20, 0.10485323427095446)	(25, 0.11027284757271313)	(30, 0.11613309572352577)	(35, 0.12246244278583918)	(40, 0.12900750279198964)	(45, 0.13595440838562442)	(50, 0.14315665336297317)	(55, 0.1504236401294166)	(60, 0.15792364152471378)	(65, 0.16556819570773101)	(70, 0.17318065805563662)	(75, 0.1807495871315648)	(80, 0.1883059585328841)	(85, 0.19597144217358278)	(90, 0.20355237080524832)	(95, 0.21130017697949416)	(100, 0.21912249202308604)	(105, 0.2268580195821587)	(110, 0.23441829781557857)	(115, 0.2420207140237971)	(120, 0.2496635938501998)	(125, 0.25718089693051366)	(130, 0.2646853632767829)	(135, 0.2720235101993433)	(140, 0.27619349534780013)
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1 - polya	(1, 0.00022806332541776714)	(2, 0.0029783715467924243)	(3, 0.0053809396482231596)	(4, 0.007825281725101703)	(5, 0.01009688276837174)	(6, 0.012268000465294344)	(7, 0.013986378590471778)	(8, 0.016592171437324287)	(9, 0.019269092945074413)	(10, 0.02703272983073151)	(15, 0.03856008900159984)	(20, 0.051809439182008664)	(25, 0.06661029739107635)	(30, 0.08288137373063426)	(35, 0.09788161799548799)	(40, 0.11196915734812526)	(45, 0.12593611668514565)	(50, 0.14018849388684726)	(55, 0.1549489329521033)	(60, 0.16983537135952081)	(65, 0.1843083603126414)	(70, 0.198081578725693)	(75, 0.21190560332510006)	(80, 0.2257492729832312)	(85, 0.23991674740240104)	(90, 0.253640740266006)	(95, 0.26716512126855235)	(100, 0.28076605025854084)	(105, 0.29454694605086396)	(110, 0.3084590347066204)	(115, 0.32127867745309857)	(120, 0.3332221957415361)	(125, 0.3449663279741877)	(130, 0.3559501738536891)	(135, 0.36673531109322255)	(140, 0.370320647213008)
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002788695117732103)	(4, 0.0005701583135444178)	(5, 0.000860318088952171)	(6, 0.001234025815255542)	(7, 0.001558056381566924)	(8, 0.0019803122414988293)	(9, 0.0026385346113926822)	(10, 0.00424491332131545)	(15, 0.0070846404306756875)	(20, 0.010053528156015094)	(25, 0.013217060026414023)	(30, 0.017076072136700794)	(35, 0.02163779025560152)	(40, 0.026891375730027034)	(45, 0.032583700849290895)	(50, 0.03875541056247743)	(55, 0.04524821537343038)	(60, 0.05196569643071073)	(65, 0.05906388517774787)	(70, 0.0661004290853404)	(75, 0.0730590701738546)	(80, 0.08026270998323837)	(85, 0.08735209232464056)	(90, 0.09456950625565846)	(95, 0.10204704786081624)	(100, 0.10990010363445893)	(105, 0.11769941775320118)	(110, 0.12524695899289312)	(115, 0.1324384053175516)	(120, 0.13980056042836433)	(125, 0.1472699730437053)	(130, 0.1548105143199438)	(135, 0.1623537652594546)	(140, 0.16646477605406437)
