Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	(16.0, 2.0)	(17.0, 179.0)	(18.0, 2910.0)	(19.0, 14022.0)	(20.0, 40350.0)	(21.0, 73979.0)	(22.0, 102312.0)	(23.0, 122572.0)	(24.0, 150695.0)	(25.0, 176977.0)	(26.0, 209187.0)	(27.0, 241387.0)	(28.0, 294814.0)	(29.0, 349596.0)	(30.0, 421902.0)	(31.0, 494177.0)	(32.0, 615635.0)	(33.0, 759445.0)	(34.0, 1012708.0)	(35.0, 1422903.0)	(36.0, 2320872.0)	(37.0, 3862664.0)	(38.0, 8588048.0)	(39.0, 42608646.0)	(40.0, 10694746.0)				
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	(14.0, 30.0)	(15.0, 245.0)	(16.0, 2081.0)	(17.0, 9407.0)	(18.0, 28180.0)	(19.0, 55446.0)	(20.0, 89016.0)	(21.0, 108633.0)	(22.0, 118924.0)	(23.0, 129892.0)	(24.0, 153002.0)	(25.0, 172866.0)	(26.0, 200792.0)	(27.0, 227392.0)	(28.0, 272459.0)	(29.0, 314672.0)	(30.0, 374647.0)	(31.0, 433882.0)	(32.0, 537400.0)	(33.0, 661341.0)	(34.0, 876449.0)	(35.0, 1222244.0)	(36.0, 2005926.0)	(37.0, 3501489.0)	(38.0, 8135621.0)	(39.0, 43157165.0)	(40.0, 11791527.0)		
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	(16.0, 1.0)	(17.0, 188.0)	(18.0, 2957.0)	(19.0, 14324.0)	(20.0, 40049.0)	(21.0, 72905.0)	(22.0, 98588.0)	(23.0, 117963.0)	(24.0, 144814.0)	(25.0, 168821.0)	(26.0, 198879.0)	(27.0, 228503.0)	(28.0, 278228.0)	(29.0, 329751.0)	(30.0, 399185.0)	(31.0, 469864.0)	(32.0, 583794.0)	(33.0, 717942.0)	(34.0, 954487.0)	(35.0, 1341599.0)	(36.0, 2183663.0)	(37.0, 3639603.0)	(38.0, 7983224.0)	(39.0, 40786740.0)	(40.0, 10913248.0)				
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	(13.0, 2.0)	(14.0, 26.0)	(15.0, 363.0)	(16.0, 2614.0)	(17.0, 11452.0)	(18.0, 32224.0)	(19.0, 60670.0)	(20.0, 94290.0)	(21.0, 112794.0)	(22.0, 122317.0)	(23.0, 131342.0)	(24.0, 154031.0)	(25.0, 172355.0)	(26.0, 200516.0)	(27.0, 225973.0)	(28.0, 271231.0)	(29.0, 313004.0)	(30.0, 374262.0)	(31.0, 433517.0)	(32.0, 533431.0)	(33.0, 654067.0)	(34.0, 863523.0)	(35.0, 1202144.0)	(36.0, 1973723.0)	(37.0, 3429365.0)	(38.0, 7878320.0)	(39.0, 41334074.0)	(40.0, 11087690.0)	
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	(16.0, 1.0)	(17.0, 183.0)	(18.0, 3431.0)	(19.0, 16713.0)	(20.0, 47999.0)	(21.0, 88460.0)	(22.0, 121932.0)	(23.0, 147644.0)	(24.0, 181880.0)	(25.0, 214506.0)	(26.0, 253898.0)	(27.0, 292687.0)	(28.0, 358465.0)	(29.0, 421660.0)	(30.0, 508848.0)	(31.0, 594299.0)	(32.0, 734655.0)	(33.0, 905096.0)	(34.0, 1195469.0)	(35.0, 1670385.0)	(36.0, 2691789.0)	(37.0, 4419712.0)	(38.0, 9506000.0)	(39.0, 49436987.0)	(40.0, 14759192.0)				
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	(13.0, 2.0)	(14.0, 20.0)	(15.0, 303.0)	(16.0, 2374.0)	(17.0, 11418.0)	(18.0, 34630.0)	(19.0, 67015.0)	(20.0, 107043.0)	(21.0, 131052.0)	(22.0, 143520.0)	(23.0, 156244.0)	(24.0, 185523.0)	(25.0, 208872.0)	(26.0, 243359.0)	(27.0, 275811.0)	(28.0, 332134.0)	(29.0, 381806.0)	(30.0, 452544.0)	(31.0, 525154.0)	(32.0, 647737.0)	(33.0, 797029.0)	(34.0, 1058430.0)	(35.0, 1470255.0)	(36.0, 2386423.0)	(37.0, 4092687.0)	(38.0, 9213378.0)	(39.0, 50287815.0)	(40.0, 15359313.0)	
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	(16.0, 2.0)	(17.0, 97.0)	(18.0, 1825.0)	(19.0, 9073.0)	(20.0, 27450.0)	(21.0, 51113.0)	(22.0, 70185.0)	(23.0, 85066.0)	(24.0, 104218.0)	(25.0, 122184.0)	(26.0, 145801.0)	(27.0, 169393.0)	(28.0, 206788.0)	(29.0, 245765.0)	(30.0, 297932.0)	(31.0, 349590.0)	(32.0, 438484.0)	(33.0, 542579.0)	(34.0, 725732.0)	(35.0, 1029631.0)	(36.0, 1697832.0)	(37.0, 2854443.0)	(38.0, 6457379.0)	(39.0, 31841966.0)	(40.0, 7599343.0)				
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	(13.0, 3.0)	(14.0, 31.0)	(15.0, 281.0)	(16.0, 2111.0)	(17.0, 9212.0)	(18.0, 26275.0)	(19.0, 49898.0)	(20.0, 79565.0)	(21.0, 95336.0)	(22.0, 101583.0)	(23.0, 108515.0)	(24.0, 124964.0)	(25.0, 138988.0)	(26.0, 159032.0)	(27.0, 178584.0)	(28.0, 212600.0)	(29.0, 246510.0)	(30.0, 293982.0)	(31.0, 343355.0)	(32.0, 425691.0)	(33.0, 525289.0)	(34.0, 699881.0)	(35.0, 978214.0)	(36.0, 1612660.0)	(37.0, 2822277.0)	(38.0, 6578919.0)	(39.0, 31886009.0)	(40.0, 7374106.0)	
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	(16.0, 2.0)	(17.0, 195.0)	(18.0, 3098.0)	(19.0, 14471.0)	(20.0, 42876.0)	(21.0, 81454.0)	(22.0, 113204.0)	(23.0, 134826.0)	(24.0, 164378.0)	(25.0, 191945.0)	(26.0, 228689.0)	(27.0, 263952.0)	(28.0, 322771.0)	(29.0, 383722.0)	(30.0, 467278.0)	(31.0, 555131.0)	(32.0, 703341.0)	(33.0, 881998.0)	(34.0, 1202264.0)	(35.0, 1729736.0)	(36.0, 2892892.0)	(37.0, 4941064.0)	(38.0, 11436876.0)	(39.0, 50411646.0)	(40.0, 10446038.0)				
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	(14.0, 26.0)	(15.0, 491.0)	(16.0, 3258.0)	(17.0, 14406.0)	(18.0, 39335.0)	(19.0, 71763.0)	(20.0, 113145.0)	(21.0, 137867.0)	(22.0, 149446.0)	(23.0, 159756.0)	(24.0, 184747.0)	(25.0, 203985.0)	(26.0, 234726.0)	(27.0, 262092.0)	(28.0, 311195.0)	(29.0, 357944.0)	(30.0, 428872.0)	(31.0, 501581.0)	(32.0, 626468.0)	(33.0, 780532.0)	(34.0, 1051364.0)	(35.0, 1500375.0)	(36.0, 2529524.0)	(37.0, 4530872.0)	(38.0, 10907731.0)	(39.0, 50934623.0)	(40.0, 11577723.0)		
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1	(16.0, 4.0)	(17.0, 177.0)	(18.0, 2891.0)	(19.0, 13169.0)	(20.0, 36142.0)	(21.0, 65972.0)	(22.0, 90292.0)	(23.0, 107282.0)	(24.0, 130649.0)	(25.0, 151116.0)	(26.0, 178113.0)	(27.0, 204237.0)	(28.0, 247288.0)	(29.0, 290289.0)	(30.0, 351116.0)	(31.0, 414125.0)	(32.0, 518351.0)	(33.0, 642381.0)	(34.0, 860301.0)	(35.0, 1215665.0)	(36.0, 1985361.0)	(37.0, 3290750.0)	(38.0, 7263750.0)	(39.0, 38525159.0)	(40.0, 11326052.0)				
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	(14.0, 37.0)	(15.0, 318.0)	(16.0, 2480.0)	(17.0, 10866.0)	(18.0, 31595.0)	(19.0, 58773.0)	(20.0, 92220.0)	(21.0, 109218.0)	(22.0, 116579.0)	(23.0, 125082.0)	(24.0, 144555.0)	(25.0, 159336.0)	(26.0, 182929.0)	(27.0, 203382.0)	(28.0, 241028.0)	(29.0, 275520.0)	(30.0, 326424.0)	(31.0, 379126.0)	(32.0, 471004.0)	(33.0, 583072.0)	(34.0, 776655.0)	(35.0, 1090236.0)	(36.0, 1801358.0)	(37.0, 3137547.0)	(38.0, 7294346.0)	(39.0, 38976724.0)	(40.0, 11320222.0)		
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	(17.0, 162.0)	(18.0, 2920.0)	(19.0, 14154.0)	(20.0, 41263.0)	(21.0, 76344.0)	(22.0, 104549.0)	(23.0, 124480.0)	(24.0, 152475.0)	(25.0, 178757.0)	(26.0, 211657.0)	(27.0, 244892.0)	(28.0, 301617.0)	(29.0, 355820.0)	(30.0, 431060.0)	(31.0, 509251.0)	(32.0, 634185.0)	(33.0, 787950.0)	(34.0, 1057670.0)	(35.0, 1496847.0)	(36.0, 2460796.0)	(37.0, 4154034.0)	(38.0, 9561207.0)	(39.0, 45940391.0)	(40.0, 8654455.0)					
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	(13.0, 1.0)	(14.0, 21.0)	(15.0, 312.0)	(16.0, 2750.0)	(17.0, 12380.0)	(18.0, 36033.0)	(19.0, 69663.0)	(20.0, 109998.0)	(21.0, 131339.0)	(22.0, 141371.0)	(23.0, 151301.0)	(24.0, 176273.0)	(25.0, 195276.0)	(26.0, 224669.0)	(27.0, 252805.0)	(28.0, 300906.0)	(29.0, 349484.0)	(30.0, 414072.0)	(31.0, 482038.0)	(32.0, 596377.0)	(33.0, 732757.0)	(34.0, 970594.0)	(35.0, 1359896.0)	(36.0, 2245665.0)	(37.0, 3932716.0)	(38.0, 9220841.0)	(39.0, 45026043.0)	(40.0, 10361355.0)	
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	(16.0, 2.0)	(17.0, 188.0)	(18.0, 2730.0)	(19.0, 13515.0)	(20.0, 40481.0)	(21.0, 75272.0)	(22.0, 103156.0)	(23.0, 123667.0)	(24.0, 151356.0)	(25.0, 177042.0)	(26.0, 211390.0)	(27.0, 242823.0)	(28.0, 296217.0)	(29.0, 351022.0)	(30.0, 425580.0)	(31.0, 500632.0)	(32.0, 621048.0)	(33.0, 766525.0)	(34.0, 1019336.0)	(35.0, 1436907.0)	(36.0, 2351439.0)	(37.0, 3912768.0)	(38.0, 8641013.0)	(39.0, 44087271.0)	(40.0, 11386441.0)				
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	(13.0, 1.0)	(14.0, 24.0)	(15.0, 343.0)	(16.0, 2486.0)	(17.0, 11070.0)	(18.0, 32590.0)	(19.0, 63050.0)	(20.0, 100972.0)	(21.0, 122208.0)	(22.0, 132001.0)	(23.0, 142039.0)	(24.0, 166409.0)	(25.0, 186893.0)	(26.0, 217552.0)	(27.0, 243531.0)	(28.0, 291900.0)	(29.0, 336416.0)	(30.0, 399141.0)	(31.0, 462357.0)	(32.0, 569987.0)	(33.0, 699225.0)	(34.0, 924063.0)	(35.0, 1285421.0)	(36.0, 2107456.0)	(37.0, 3667406.0)	(38.0, 8459364.0)	(39.0, 44720778.0)	(40.0, 11593138.0)	
