Sample	Unique Reads	Duplicate Reads
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	57070954.0	17509774.0
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	56506805.0	18073923.0
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	55747824.0	15921496.0
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	55146185.0	16523135.0
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	60654214.0	27917677.0
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	59799194.0	28772697.0
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	44268422.0	10805449.0
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	43999276.0	11074595.0
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	68274614.0	19339233.0
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	67678475.0	19935372.0
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1	53021378.0	14889254.0
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	52566630.0	15344002.0
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	60824571.0	16672365.0
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	60325988.0	17170948.0
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	57792448.0	19145373.0
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	57287351.0	19650470.0
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1	48914787.0	8280977.0
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2	48700244.0	8495520.0
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1	46645741.0	7908468.0
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2	46447798.0	8106411.0
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1	43938148.0	6489876.0
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2	43795415.0	6632609.0
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1	60868536.0	17490187.0
032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2	60481254.0	17877469.0
032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1	50884451.0	9472363.0
032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2	50677930.0	9678884.0
032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1	46209160.0	7854959.0
032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2	46006269.0	8057850.0
032024_COL_SAN_T5_147_PSTR_S10_R1_001_val_1	48409022.0	10220126.0
032024_COL_SAN_T5_147_PSTR_S10_R2_001_val_2	48007920.0	10621228.0
032024_COL_SAN_T5_148_DLAB_S13_R1_001_val_1	44762884.0	8537772.0
032024_COL_SAN_T5_148_DLAB_S13_R2_001_val_2	44498881.0	8801775.0
032024_COL_SAN_T5_149_DLAB_S14_R1_001_val_1	49912083.0	9004172.0
032024_COL_SAN_T5_149_DLAB_S14_R2_001_val_2	49730715.0	9185540.0
032024_COL_SAN_T5_150_MCAV_S8_R1_001_val_1	60115464.0	13955957.0
032024_COL_SAN_T5_150_MCAV_S8_R2_001_val_2	59597909.0	14473512.0
032024_COL_SAN_T5_154_PSTR_S38_R1_001_val_1	47132344.0	17166471.0
032024_COL_SAN_T5_154_PSTR_S38_R2_001_val_2	46340864.0	17957951.0
032024_COL_SAN_T5_158_DLAB_S15_R1_001_val_1	40951210.0	7207821.0
032024_COL_SAN_T5_158_DLAB_S15_R2_001_val_2	40796153.0	7362878.0
032024_COL_SAN_T5_159_DLAB_S16_R1_001_val_1	47893884.0	8528131.0
032024_COL_SAN_T5_159_DLAB_S16_R2_001_val_2	47754669.0	8667346.0
032024_COL_SAN_T5_160_DLAB_S41_R1_001_val_1	62489398.0	20294825.0
032024_COL_SAN_T5_160_DLAB_S41_R2_001_val_2	61848661.0	20935562.0
032024_COL_SAN_T5_161_DLAB_S42_R1_001_val_1	60468090.0	16714950.0
032024_COL_SAN_T5_161_DLAB_S42_R2_001_val_2	59752128.0	17430912.0
032024_COL_SAN_T5_162_PSTR_S39_R1_001_val_1	60385220.0	24326796.0
032024_COL_SAN_T5_162_PSTR_S39_R2_001_val_2	59344928.0	25367088.0
032024_COL_SAN_T5_163_PSTR_S11_R1_001_val_1	43170154.0	7938855.0
032024_COL_SAN_T5_163_PSTR_S11_R2_001_val_2	42989992.0	8119017.0
032024_COL_SAN_T5_166_OFAV_S20_R1_001_val_1	54991897.0	9216954.0
032024_COL_SAN_T5_166_OFAV_S20_R2_001_val_2	54733116.0	9475735.0
032024_COL_SAN_T5_167_OFAV_S21_R1_001_val_1	49284551.0	7857107.0
032024_COL_SAN_T5_167_OFAV_S21_R2_001_val_2	49201325.0	7940333.0
