Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	(1.0, 66.11334142229896)	(2.0, 14.739701958245439)	(3.0, 4.76169077765067)	(4.0, 2.3163258335653207)	(5.0, 1.3195957639514386)	(6.0, 0.9426605240171005)	(7.0, 0.6493352225236406)	(8.0, 0.47941665267992384)	(9.0, 0.43316339783896973)	('>10', 3.9892001548042226)	('>50', 0.9487586630966695)	('>100', 1.5245155656319165)	('>500', 0.6133584668945287)	('>1k', 0.869971497499465)	('>5k', 0.149244139159532)	('>10k+', 0.14971996014224748)
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	(1.0, 64.90742481070131)	(2.0, 15.50955772057597)	(3.0, 4.92252189682331)	(4.0, 2.209721931838841)	(5.0, 1.3832761851573097)	(6.0, 0.9571047495703946)	(7.0, 0.697551713705718)	(8.0, 0.5138753185692252)	(9.0, 0.45478499165846786)	('>10', 4.175818065983431)	('>50', 0.8555095557102066)	('>100', 1.620091660046489)	('>500', 0.6008727952256194)	('>1k', 0.8510040053198967)	('>5k', 0.14943095885502378)	('>10k+', 0.1914536402589307)
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	(1.0, 67.62643573870754)	(2.0, 14.713255545149792)	(3.0, 4.564504132147966)	(4.0, 2.0694841796521746)	(5.0, 1.1908998269037427)	(6.0, 0.7889199768414562)	(7.0, 0.5790311447108847)	(8.0, 0.4637620496889625)	(9.0, 0.3631670234527333)	('>10', 3.3036933473880223)	('>50', 0.6491263420901943)	('>100', 1.4758181882611572)	('>500', 0.7660058531063993)	('>1k', 1.2480413377172006)	('>5k', 0.16717690704027932)	('>10k+', 0.030678407141414087)
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	(1.0, 66.2878201883471)	(2.0, 15.49329008004122)	(3.0, 4.826500503120639)	(4.0, 2.131685723584681)	(5.0, 1.1726473797723795)	(6.0, 0.7806941297493925)	(7.0, 0.6015067317923842)	(8.0, 0.5031062039775169)	(9.0, 0.3471903292110296)	('>10', 3.444041515355445)	('>50', 0.7204997658704315)	('>100', 1.4412665247798788)	('>500', 0.7915970528560801)	('>1k', 1.2330015576434994)	('>5k', 0.15094434432505996)	('>10k+', 0.07420796957351808)
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	(1.0, 55.987820610439165)	(2.0, 16.47480576356318)	(3.0, 6.507705447499028)	(4.0, 3.2699449918297097)	(5.0, 1.971730627686111)	(6.0, 1.3850384716310231)	(7.0, 0.9767557421500705)	(8.0, 0.7520962951425164)	(9.0, 0.6231980585931103)	('>10', 5.453299863140582)	('>50', 1.198442854644185)	('>100', 2.1263698930461716)	('>500', 0.7968801157758437)	('>1k', 1.694460507048689)	('>5k', 0.37706528300183073)	('>10k+', 0.4043854748088516)
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	(1.0, 54.6330096864208)	(2.0, 17.004115935393724)	(3.0, 6.6711836791052335)	(4.0, 3.4015381198384356)	(5.0, 2.03841970714152)	(6.0, 1.4030998972526139)	(7.0, 1.0125917322282125)	(8.0, 0.7596491095379679)	(9.0, 0.6190498514620486)	('>10', 5.648608942276842)	('>50', 1.3195550656765362)	('>100', 2.164823032693171)	('>500', 0.8436847075662033)	('>1k', 1.6785417742493007)	('>5k', 0.3559633080791419)	('>10k+', 0.44616545107810196)
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	(1.0, 70.92051939764026)	(2.0, 14.09162500952553)	(3.0, 3.9577549234342584)	(4.0, 1.7968283170333315)	(5.0, 0.9888506777075754)	(6.0, 0.6876035931572045)	(7.0, 0.4958633149718476)	(8.0, 0.3662954446590515)	(9.0, 0.3427972201258773)	('>10', 2.75860271426141)	('>50', 0.6494410347493419)	('>100', 1.3799616654233697)	('>500', 0.6133645437136472)	('>1k', 0.8181624785938011)	('>5k', 0.0931044518522565)	('>10k+', 0.03922521315145419)
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	(1.0, 70.12803612995371)	(2.0, 14.59045728568589)	(3.0, 4.133465308255047)	(4.0, 1.8206183276893086)	(5.0, 0.9616335989483804)	(6.0, 0.662496257617197)	(7.0, 0.46091843649312747)	(8.0, 0.4067885005889565)	(9.0, 0.2989268033788347)	('>10', 2.8554530898354638)	('>50', 0.6626465435615746)	('>100', 1.4107187783198916)	('>500', 0.5952393222429382)	('>1k', 0.8461629091855941)	('>5k', 0.0776940861602503)	('>10k+', 0.08874462208386577)
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	(1.0, 66.80587778141975)	(2.0, 15.94862227425172)	(3.0, 5.27557530306165)	(4.0, 2.3517208766675517)	(5.0, 1.2945567593683656)	(6.0, 0.9027377072618371)	(7.0, 0.5772547832986783)	(8.0, 0.4778372811839078)	(9.0, 0.3623319512044572)	('>10', 3.2489380098205976)	('>50', 0.6803002250044722)	('>100', 1.2253206747775414)	('>500', 0.39194430130409885)	('>1k', 0.4092379608906923)	('>5k', 0.03574986690067633)	('>10k+', 0.011994243583906659)
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	(1.0, 65.71806942161402)	(2.0, 16.653356134608785)	(3.0, 5.306486698485292)	(4.0, 2.4055939991476905)	(5.0, 1.3528249352416626)	(6.0, 0.8605813746523786)	(7.0, 0.6527930271229214)	(8.0, 0.475673045309129)	(9.0, 0.42905653847430403)	('>10', 3.4055928112186904)	('>50', 0.6778125264186701)	('>100', 1.1872867121697324)	('>500', 0.39453159778998537)	('>1k', 0.38901451803656456)	('>5k', 0.04178692340374099)	('>10k+', 0.04953973630609776)
