Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	(20, 7129.0)	(25, 20766.0)	(30, 16783.0)	(35, 19592.0)	(40, 24682.0)	(45, 30116.0)	(50, 38588.0)	(55, 49417.0)	(60, 64427.0)	(65, 84173.0)	(70, 111936.0)	(75, 148812.0)	(80, 200532.0)	(85, 267055.0)	(90, 355074.0)	(95, 466625.0)	(100, 608954.0)	(105, 775912.0)	(110, 977791.0)	(115, 1200043.0)	(120, 1454444.0)	(125, 1711889.0)	(130, 1981029.0)	(135, 2250410.0)	(140, 2505476.0)	(145, 8129640.0)	(150, 51079433.0)
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	(20, 26879.0)	(25, 37603.0)	(30, 23277.0)	(35, 23795.0)	(40, 27959.0)	(45, 34401.0)	(50, 43327.0)	(55, 55292.0)	(60, 71464.0)	(65, 92374.0)	(70, 121682.0)	(75, 159617.0)	(80, 211755.0)	(85, 279415.0)	(90, 367361.0)	(95, 478296.0)	(100, 619977.0)	(105, 786298.0)	(110, 986698.0)	(115, 1207874.0)	(120, 1460717.0)	(125, 1717398.0)	(130, 1985910.0)	(135, 2257756.0)	(140, 2525955.0)	(145, 8104482.0)	(150, 50873166.0)
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	(20, 6782.0)	(25, 20260.0)	(30, 16056.0)	(35, 17224.0)	(40, 20283.0)	(45, 23385.0)	(50, 27278.0)	(55, 32966.0)	(60, 40315.0)	(65, 50426.0)	(70, 64116.0)	(75, 82882.0)	(80, 109904.0)	(85, 145483.0)	(90, 195129.0)	(95, 261128.0)	(100, 350358.0)	(105, 462512.0)	(110, 602966.0)	(115, 766537.0)	(120, 962383.0)	(125, 1174853.0)	(130, 1410199.0)	(135, 1659503.0)	(140, 1927140.0)	(145, 7845452.0)	(150, 53393800.0)
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	(20, 29163.0)	(25, 39536.0)	(30, 22855.0)	(35, 21901.0)	(40, 23663.0)	(45, 26930.0)	(50, 31778.0)	(55, 37667.0)	(60, 46009.0)	(65, 57373.0)	(70, 72240.0)	(75, 92245.0)	(80, 120097.0)	(85, 157041.0)	(90, 206785.0)	(95, 273771.0)	(100, 363248.0)	(105, 474769.0)	(110, 614965.0)	(115, 777603.0)	(120, 972253.0)	(125, 1184576.0)	(130, 1420513.0)	(135, 1671904.0)	(140, 1949489.0)	(145, 7875703.0)	(150, 53105243.0)
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	(20, 8332.0)	(25, 25026.0)	(30, 20138.0)	(35, 23321.0)	(40, 27961.0)	(45, 33756.0)	(50, 42100.0)	(55, 53849.0)	(60, 71427.0)	(65, 94701.0)	(70, 129406.0)	(75, 179501.0)	(80, 249924.0)	(85, 347282.0)	(90, 481792.0)	(95, 661068.0)	(100, 901461.0)	(105, 1198079.0)	(110, 1552367.0)	(115, 1966221.0)	(120, 2403159.0)	(125, 2823496.0)	(130, 3237561.0)	(135, 3600030.0)	(140, 3870832.0)	(145, 9882166.0)	(150, 54686935.0)
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	(20, 33587.0)	(25, 46206.0)	(30, 27826.0)	(35, 27486.0)	(40, 31472.0)	(45, 37455.0)	(50, 46367.0)	(55, 58978.0)	(60, 78856.0)	(65, 103030.0)	(70, 139882.0)	(75, 191458.0)	(80, 263208.0)	(85, 360702.0)	(90, 495515.0)	(95, 673985.0)	(100, 914176.0)	(105, 1208451.0)	(110, 1560471.0)	(115, 1973874.0)	(120, 2408728.0)	(125, 2829068.0)	(130, 3243024.0)	(135, 3609070.0)	(140, 3897599.0)	(145, 9889195.0)	(150, 54422222.0)
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	(20, 4630.0)	(25, 13383.0)	(30, 11066.0)	(35, 12780.0)	(40, 14536.0)	(45, 16596.0)	(50, 19440.0)	(55, 22978.0)	(60, 27943.0)	(65, 33582.0)	(70, 42570.0)	(75, 53895.0)	(80, 69842.0)	(85, 92231.0)	(90, 122842.0)	(95, 162837.0)	(100, 216311.0)	(105, 284593.0)	(110, 372107.0)	(115, 474173.0)	(120, 596182.0)	(125, 730492.0)	(130, 878302.0)	(135, 1036394.0)	(140, 1209938.0)	(145, 5920598.0)	(150, 42633630.0)
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	(20, 22497.0)	(25, 30693.0)	(30, 17744.0)	(35, 16864.0)	(40, 17845.0)	(45, 20062.0)	(50, 23731.0)	(55, 27613.0)	(60, 33487.0)	(65, 40078.0)	(70, 50131.0)	(75, 62163.0)	(80, 78682.0)	(85, 101499.0)	(90, 131876.0)	(95, 172231.0)	(100, 224966.0)	(105, 293165.0)	(110, 379394.0)	(115, 482252.0)	(120, 603400.0)	(125, 738157.0)	(130, 887807.0)	(135, 1047093.0)	(140, 1232132.0)	(145, 5943086.0)	(150, 42395223.0)
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	(20, 7255.0)	(25, 21385.0)	(30, 17411.0)	(35, 20026.0)	(40, 24505.0)	(45, 30279.0)	(50, 39382.0)	(55, 52219.0)	(60, 71912.0)	(65, 101207.0)	(70, 145256.0)	(75, 207541.0)	(80, 293322.0)	(85, 408939.0)	(90, 556772.0)	(95, 736712.0)	(100, 949373.0)	(105, 1185945.0)	(110, 1442493.0)	(115, 1697896.0)	(120, 1954499.0)	(125, 2196443.0)	(130, 2407856.0)	(135, 2602744.0)	(140, 2785794.0)	(145, 9289776.0)	(150, 58366905.0)
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	(20, 35010.0)	(25, 47456.0)	(30, 26942.0)	(35, 26327.0)	(40, 29573.0)	(45, 35203.0)	(50, 44891.0)	(55, 58670.0)	(60, 79178.0)	(65, 109637.0)	(70, 154815.0)	(75, 217517.0)	(80, 304238.0)	(85, 420577.0)	(90, 568247.0)	(95, 748269.0)	(100, 960371.0)	(105, 1195105.0)	(110, 1450624.0)	(115, 1705600.0)	(120, 1960403.0)	(125, 2202636.0)	(130, 2415345.0)	(135, 2612544.0)	(140, 2806628.0)	(145, 9243396.0)	(150, 58154645.0)
