Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
032024_COL_SAN_T5_128_MCAV_S1_R1_001	4.9	74596443	38078084	74596443	11264062893	48598508	10774330367	4.347743178035183
032024_COL_SAN_T5_128_MCAV_S1_R2_001	4.9	74596443	38088243	74596443	11264062893	73992058	10757051522	4.50114115853419
032024_COL_SAN_T5_129_MCAV_S2_R1_001	4.9	71687315	33510897	71687315	10824784565	45150701	10495686511	3.0402272860383714
032024_COL_SAN_T5_129_MCAV_S2_R2_001	4.9	71687315	33544542	71687315	10824784565	64424074	10477095403	3.2119730412389966
032024_COL_SAN_T5_130_MCAV_S37_R1_001	4.9	88591485	49527203	88591485	13377314235	61123281	12654917823	5.400160296077548
032024_COL_SAN_T5_130_MCAV_S37_R2_001	4.9	88591485	49558953	88591485	13377314235	93952279	12635195731	5.547589680283831
032024_COL_SAN_T5_131_MCAV_S3_R1_001	4.9	55087302	24594346	55087302	8318182602	31130781	8105673082	2.554759016096915
032024_COL_SAN_T5_131_MCAV_S3_R2_001	4.9	55087302	24615670	55087302	8318182602	51353401	8090062826	2.7424232781948255
032024_COL_SAN_T5_132_MCAV_S4_R1_001	4.9	87635513	46151471	87635513	13232962463	51562739	12574630120	4.974943024592784
032024_COL_SAN_T5_132_MCAV_S4_R2_001	4.9	87635513	46110197	87635513	13232962463	86805128	12553594372	5.133907791997037
032024_COL_SAN_T5_133_MCAV_S5_R1_001	4.9	67927591	35139397	67927591	10257066241	44644873	9781659969	4.634914709819119
032024_COL_SAN_T5_133_MCAV_S5_R2_001	4.9	67927591	35126023	67927591	10257066241	68125960	9766658641	4.781168303659003
032024_COL_SAN_T5_134_MCAV_S6_R1_001	4.9	77515908	35899158	77515908	11704902108	45184590	11355117223	2.988362326934208
032024_COL_SAN_T5_134_MCAV_S6_R2_001	4.9	77515908	35891099	77515908	11704902108	69707095	11333233899	3.1753209516034677
032024_COL_SAN_T5_136_MCAV_S7_R1_001	4.9	76956442	36715746	76956442	11620422742	46136050	11255356275	3.141593684716225
032024_COL_SAN_T5_136_MCAV_S7_R2_001	4.9	76956442	36740590	76956442	11620422742	71558033	11234000848	3.3253686425997664
032024_COL_SAN_T5_139_OFAV_S17_R1_001	4.9	57213553	23399142	57213553	8639246503	30290200	8485939733	1.7745386700884602
032024_COL_SAN_T5_139_OFAV_S17_R2_001	4.9	57213553	23363720	57213553	8639246503	50257581	8467806142	1.9844365008044036
032024_COL_SAN_T5_140_OFAV_S18_R1_001	4.9	54570317	22521409	54570317	8240117867	28494416	8092778744	1.7880705759084257
