Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74580728.0	10.7 Gbp	0.0	20-151	39.0	76.52238712640008	144.53533335046018	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74580728.0	10.7 Gbp	0.0	20-151	39.0	75.76595946803064	144.32454004739668	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71669320.0	10.4 Gbp	0.0	20-151	40.0	77.78478069079988	146.51847199052537	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71669320.0	10.4 Gbp	0.0	20-151	40.0	76.94531538428278	146.28533202212606	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88571891.0	12.6 Gbp	0.0	20-151	39.0	68.48020572261075	142.93367087533449	151	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88571891.0	12.6 Gbp	0.0	20-151	39.0	67.51486639909244	142.73324603626222	151	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55073871.0	8.1 Gbp	0.0	20-151	40.0	80.38008077870977	147.25606798185657	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55073871.0	8 Gbp	0.0	20-151	40.0	79.89137964681542	146.99898939371812	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87613847.0	12.5 Gbp	0.0	20-151	39.0	77.92673856753954	143.58280853710258	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87613847.0	12.5 Gbp	0.0	20-151	39.0	77.24632228917095	143.3699240943044	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1	032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67910632.0	9.7 Gbp	0.0	20-151	39.0	78.07522294155092	144.10047155797344	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2	032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67910632.0	9.7 Gbp	0.0	20-151	39.0	77.4055962269509	143.90531461995525	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1	032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77496936.0	11.3 Gbp	0.0	20-151	40.0	78.48641937770378	146.59546894860463	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2	032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77496936.0	11.3 Gbp	0.0	20-151	40.0	77.84306087845064	146.3406290024163	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1	032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76937821.0	11.2 Gbp	0.0	20-151	39.0	75.11578444717081	146.36264859905506	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2	032024_COL_SAN_T5_136_MCAV_S7_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76937821.0	11.2 Gbp	0.0	20-151	40.0	74.45928365445872	146.11102882677167	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1	032024_COL_SAN_T5_139_OFAV_S17_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57195764.0	8.4 Gbp	0.0	20-151	39.0	85.52169479390915	148.4401612504031	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2	032024_COL_SAN_T5_139_OFAV_S17_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57195764.0	8.4 Gbp	0.0	20-151	39.0	85.14659222728935	148.16037867769367	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass
032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1	032024_COL_SAN_T5_140_OFAV_S18_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54554209.0	8 Gbp	0.0	20-151	39.0	85.50346849240262	148.4187444638781	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2	032024_COL_SAN_T5_140_OFAV_S18_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54554209.0	8 Gbp	0.0	20-151	40.0	85.14063031294182	148.16360053905282	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass
032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1	032024_COL_SAN_T5_141_OFAV_S19_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50428024.0	7.4 Gbp	0.0	20-151	40.0	87.13041701432076	148.22354841823665	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2	032024_COL_SAN_T5_141_OFAV_S19_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50428024.0	7.4 Gbp	0.0	20-151	40.0	86.84737339316987	147.90023906151865	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass
032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1	032024_COL_SAN_T5_143_DLAB_S40_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78358723.0	11.3 Gbp	0.0	20-151	39.0	77.6793361956237	144.63875457745783	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2	032024_COL_SAN_T5_143_DLAB_S40_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78358723.0	11.3 Gbp	0.0	20-151	39.0	77.18509357655526	144.47214434569077	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1	032024_COL_SAN_T5_144_PSTR_S9_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60356814.0	8.9 Gbp	0.0	20-151	39.0	84.30605715406728	148.80362760698404	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2	032024_COL_SAN_T5_144_PSTR_S9_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60356814.0	8.9 Gbp	0.0	20-151	39.0	83.96389131634243	148.5027585949119	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	warn	pass
032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1	032024_COL_SAN_T5_146_DLAB_S12_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54064119.0	7.8 Gbp	0.0	20-151	40.0	85.47102986746282	144.98444114108287	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2	032024_COL_SAN_T5_146_DLAB_S12_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54064119.0	7.8 Gbp	0.0	20-151	41.0	85.09575269280303	144.78827608381079	151	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
