Sample	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
032024_COL_SAN_T5_128_MCAV_S1_R1_001	4.347743178035183						
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1		23.477612873599924	39.0	144.53533335046018	151	18.181818181818183	74.580728
032024_COL_SAN_T5_128_MCAV_S1_R2_001	4.50114115853419						
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2		24.234040531969356	39.0	144.32454004739668	151	18.181818181818183	74.580728
032024_COL_SAN_T5_129_MCAV_S2_R1_001	3.0402272860383714						
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1		22.215219309200123	40.0	146.51847199052537	151	18.181818181818183	71.66932
032024_COL_SAN_T5_129_MCAV_S2_R2_001	3.2119730412389966						
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2		23.05468461571722	40.0	146.28533202212606	151	18.181818181818183	71.66932
032024_COL_SAN_T5_130_MCAV_S37_R1_001	5.400160296077548						
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1		31.519794277389252	39.0	142.93367087533449	151	18.181818181818183	88.571891
032024_COL_SAN_T5_130_MCAV_S37_R2_001	5.547589680283831						
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2		32.48513360090756	39.0	142.73324603626222	151	18.181818181818183	88.571891
032024_COL_SAN_T5_131_MCAV_S3_R1_001	2.554759016096915						
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1		19.619919221290232	40.0	147.25606798185657	151	18.181818181818183	55.073871
032024_COL_SAN_T5_131_MCAV_S3_R2_001	2.7424232781948255						
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2		20.108620353184577	40.0	146.99898939371812	151	18.181818181818183	55.073871
032024_COL_SAN_T5_132_MCAV_S4_R1_001	4.974943024592784						
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1		22.073261432460455	39.0	143.58280853710258	151	18.181818181818183	87.61384699999999
032024_COL_SAN_T5_132_MCAV_S4_R2_001	5.133907791997037						
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2		22.753677710829052	39.0	143.3699240943044	151	18.181818181818183	87.61384699999999
032024_COL_SAN_T5_133_MCAV_S5_R1_001	4.634914709819119						
032024_COL_SAN_T5_133_MCAV_S5_R1_001_val_1		21.92477705844908	39.0	144.10047155797344	151	18.181818181818183	67.91063199999999
032024_COL_SAN_T5_133_MCAV_S5_R2_001	4.781168303659003						
032024_COL_SAN_T5_133_MCAV_S5_R2_001_val_2		22.594403773049095	39.0	143.90531461995525	151	18.181818181818183	67.91063199999999
032024_COL_SAN_T5_134_MCAV_S6_R1_001	2.988362326934208						
032024_COL_SAN_T5_134_MCAV_S6_R1_001_val_1		21.513580622296217	40.0	146.59546894860463	151	18.181818181818183	77.49693599999999
032024_COL_SAN_T5_134_MCAV_S6_R2_001	3.1753209516034677						
032024_COL_SAN_T5_134_MCAV_S6_R2_001_val_2		22.156939121549357	40.0	146.3406290024163	151	18.181818181818183	77.49693599999999
032024_COL_SAN_T5_136_MCAV_S7_R1_001	3.141593684716225						
032024_COL_SAN_T5_136_MCAV_S7_R1_001_val_1		24.88421555282919	39.0	146.36264859905506	151	18.181818181818183	76.937821
032024_COL_SAN_T5_136_MCAV_S7_R2_001	3.3253686425997664						
