"","Item","Cluster"
"3.1.21.4-RXN: (expasy) Type II site-specific deoxyribonuclease [3.1.21.4]","3.1.21.4-RXN: (expasy) Type II site-specific deoxyribonuclease [3.1.21.4]",1
"RXN-8674: (expasy) Glycine oxidase [1.4.3.19]","RXN-8674: (expasy) Glycine oxidase [1.4.3.19]",1
"RXN-8673: (expasy) Glycine oxidase [1.4.3.19]","RXN-8673: (expasy) Glycine oxidase [1.4.3.19]",1
"RXN-8672: (expasy) Glycine oxidase [1.4.3.19]","RXN-8672: (expasy) Glycine oxidase [1.4.3.19]",1
"1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]","1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]",1
"RXN-17951: (expasy) Glycine oxidase [1.4.3.19]","RXN-17951: (expasy) Glycine oxidase [1.4.3.19]",1
"3.2.1.3-RXN: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]","3.2.1.3-RXN: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]",1
"RXN-9024: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]","RXN-9024: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]",1
"3.4.11.6-RXN: (expasy) Aminopeptidase B [3.4.11.6]","3.4.11.6-RXN: (expasy) Aminopeptidase B [3.4.11.6]",1
"RXN-18719: (expasy) AMBIGUOUS [3.4.11.15; 3.4.11.6]","RXN-18719: (expasy) AMBIGUOUS [3.4.11.15; 3.4.11.6]",1
"2.9.1.1-RXN: (expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1]","2.9.1.1-RXN: (expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1]",1
"RXN-14126: (expasy) 3'-nucleotidase [3.1.3.6]","RXN-14126: (expasy) 3'-nucleotidase [3.1.3.6]",1
"RXN-14124: (expasy) 3'-nucleotidase [3.1.3.6]","RXN-14124: (expasy) 3'-nucleotidase [3.1.3.6]",1
"RXN-14115: (expasy) 3'-nucleotidase [3.1.3.6]","RXN-14115: (expasy) 3'-nucleotidase [3.1.3.6]",1
"3-NUCLEOTID-RXN: (expasy) 3'-nucleotidase [3.1.3.6]","3-NUCLEOTID-RXN: (expasy) 3'-nucleotidase [3.1.3.6]",1
"RXN-14090: (expasy) 3'-nucleotidase [3.1.3.6]","RXN-14090: (expasy) 3'-nucleotidase [3.1.3.6]",1
"TEICHOICSYN2-RXN: (expasy) mannosaminyltransferase [2.4.1.187]","TEICHOICSYN2-RXN: (expasy) mannosaminyltransferase [2.4.1.187]",1
"BILIVERDIN-REDUCTASE-RXN: (expasy) Biliverdin reductase [1.3.1.24]","BILIVERDIN-REDUCTASE-RXN: (expasy) Biliverdin reductase [1.3.1.24]",1
"RXN-18345: (expasy) Biliverdin reductase [1.3.1.24]","RXN-18345: (expasy) Biliverdin reductase [1.3.1.24]",1
"RXN-17372: (expasy) Demethyl-4-deoxygadusol synthase [4.2.3.154]","RXN-17372: (expasy) Demethyl-4-deoxygadusol synthase [4.2.3.154]",1
"RXN-18696: (expasy) Deaminated glutathione amidase [3.5.1.128]","RXN-18696: (expasy) Deaminated glutathione amidase [3.5.1.128]",1
"AGMATIN-RXN: (expasy) Agmatinase [3.5.3.11]","AGMATIN-RXN: (expasy) Agmatinase [3.5.3.11]",1
"SUCCINYLDIAMINOPIMTRANS-RXN: (expasy) Succinyldiaminopimelate transaminase [2.6.1.17]","SUCCINYLDIAMINOPIMTRANS-RXN: (expasy) Succinyldiaminopimelate transaminase [2.6.1.17]",1
"RXN-7784: (expasy) Dihydroflavanol 4-reductase [1.1.1.219]","RXN-7784: (expasy) Dihydroflavanol 4-reductase [1.1.1.219]",1
"RXN-600: (expasy) Dihydroflavanol 4-reductase [1.1.1.219]","RXN-600: (expasy) Dihydroflavanol 4-reductase [1.1.1.219]",1
