"","x"
"1","1.1.1.127-RXN: (expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]"
"2","1.1.1.136-RXN: (expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]"
"3","1.1.1.268-RXN: (expasy) 2-(R)-hydroxypropyl-CoM dehydrogenase [1.1.1.268]"
"4","1.1.1.269-RXN: (expasy) 2-(S)-hydroxypropyl-CoM dehydrogenase [1.1.1.269]"
"5","1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]"
"6","1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]"
"7","1.1.1.34-RXN: (expasy) Hydroxymethylglutaryl-CoA reductase (NADPH) [1.1.1.34]"
"8","1.1.1.39-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]"
"9","1.1.1.51-RXN: (expasy) 3(or 17)-beta-hydroxysteroid dehydrogenase [1.1.1.51]"
"10","1.1.1.53-RXN: (expasy) 3-alpha(or 20-beta)-hydroxysteroid dehydrogenase [1.1.1.53]"
"11","1.1.1.83-RXN: (expasy) D-malate dehydrogenase (decarboxylating) [1.1.1.83]"
"12","1.1.3.41-RXN: (expasy) Alditol oxidase [1.1.3.41]"
"13","1.1.99.28-RXN: (expasy) Glucose-fructose oxidoreductase [1.1.99.28]"
"14","1.12.1.3-RXN: (expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]"
"15","1.12.5.1-RXN: (expasy) Hydrogen:quinone oxidoreductase [1.12.5.1]"
"16","1.13.11.15-RXN: (expasy) 3,4-dihydroxyphenylacetate 2,3-dioxygenase [1.13.11.15]"
"17","1.13.11.16-RXN: (expasy) 3-carboxyethylcatechol 2,3-dioxygenase [1.13.11.16]"
"18","1.13.11.6-RXN: (expasy) 3-hydroxyanthranilate 3,4-dioxygenase [1.13.11.6]"
"19","1.13.11.9-RXN: (expasy) 2,5-dihydroxypyridine 5,6-dioxygenase [1.13.11.9]"
"20","1.14.11.1-RXN: (expasy) Gamma-butyrobetaine dioxygenase [1.14.11.1]"
"21","1.14.12.1-RXN: (expasy) Anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [1.14.12.1]"
"22","1.14.13.59-RXN: (expasy) L-lysine N(6)-monooxygenase (NADPH) [1.14.13.59]"
"23","1.14.13.8-RXN: (expasy) Flavin-containing monooxygenase [1.14.13.8]"
"24","1.14.13.92-RXN: (expasy) Phenylacetone monooxygenase [1.14.13.92]"
"25","1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]"
"26","1.2.1.13-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) [1.2.1.13]"
"27","1.2.1.2-RXN: (expasy) Formate dehydrogenase [1.17.1.9]"
"28","1.2.1.32-RXN: (expasy) Aminomuconate-semialdehyde dehydrogenase [1.2.1.32]"
"29","1.2.1.58-RXN: (expasy) Phenylglyoxylate dehydrogenase (acylating) [1.2.1.58]"
"30","1.2.1.61-RXN: (expasy) 4-hydroxymuconic-semialdehyde dehydrogenase [1.2.1.61]"
"31","1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306]"
"32","1.2.3.3-RXN: (expasy) Pyruvate oxidase [1.2.3.3]"
"33","1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]"
"34","1.2.7.5-RXN: (expasy) Aldehyde ferredoxin oxidoreductase [1.2.7.5]"
"35","1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]"
"36","1.3.1.25-RXN: (expasy) 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase [1.3.1.25]"
"37","1.3.1.56-RXN: (expasy) Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [1.3.1.56]"
"38","1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16]"
"39","1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]"
"40","1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]"
"41","1.5.1.7-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]"
"42","1.5.1.8-RXN: (expasy) Saccharopine dehydrogenase (NADP(+), L-lysine-forming) [1.5.1.8]"
"43","1.5.1.9-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-glutamate-forming) [1.5.1.9]"
"44","1.5.99.9-RXN: (expasy) Methylenetetrahydromethanopterin dehydrogenase [1.5.98.1]"
"45","1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8]"
"46","1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]"
"47","1.8.1.15-RXN: (expasy) Mycothione reductase [1.8.1.15]"
"48","1PFRUCTPHOSN-RXN: (expasy) 1-phosphofructokinase [2.7.1.56]"
"49","2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]"
"50","2-HALOACID-DEHALOGENASE-RXN: (expasy) AMBIGUOUS [3.8.1.10; 3.8.1.2]"
"51","2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN: (expasy) L-2-hydroxyglutarate dehydrogenase [1.1.99.2]"
"52","2-METHYLCITRATE-DEHYDRATASE-RXN: (expasy) 2-methylcitrate dehydratase [4.2.1.79]"
