MAG,RNA processing and modification,Chromatin structure and dynamics,Energy production and conversion,"Cell cycle control, cell division, chromosome partitioning",Amino acid transport and metabolism,Nucleotide transport and metabolism,Carbohydrate transport and metabolism,Coenzyme transport and metabolism,Lipid transport and metabolism,"Translation, ribosomal structure and biogenesis",Transcription,"Replication, recombination and repair",Cell wall/membrane/envelope biogenesis,Cell motility,"Posttranslational modification, protein turnover, chaperones",Inorganic ion transport and metabolism,"Secondary metabolites biosynthesis, transport and catabolism",General function prediction only,Function unknown,Signal transduction mechanisms,"Intracellular trafficking, secretion, and vesicular transport",Defense mechanisms,Extracellular structures,"Mobilome: prophages, transposons",Total
dlab_metabat2.44,5,6,279,59,414,63,148,205,286,194,212,146,271,50,154,229,76,224,166,157,51,87,17,43,3542
dlab_metabat2.7,3,3,160,49,233,64,118,162,125,210,226,135,247,20,185,200,60,251,100,141,41,116,3,69,2921
dlab_metabat2.74,5,4,109,34,142,63,52,96,77,187,51,97,166,15,125,81,18,135,45,61,23,51,0,28,1665
dlab_metabat2.22,3,1,103,51,150,50,118,94,61,167,31,108,189,54,95,58,21,113,48,38,26,58,3,6,1646
dlab_metabat2.54,3,2,114,28,161,55,51,115,57,171,41,97,118,4,76,53,18,71,42,34,20,40,0,20,1391
dlab_metabat2.73,8,1,202,58,154,52,99,174,47,178,58,109,176,26,130,82,34,199,78,149,33,181,1,358,2587
dlab_maxbin2.015,14,6,298,68,468,94,249,228,238,214,253,124,252,64,225,229,132,271,140,224,85,83,20,61,4040
dlab_metabat2.38,3,2,61,35,39,21,25,55,32,139,33,98,100,3,59,18,2,36,9,55,23,27,0,46,921
dlab_concoct.75,3,4,122,43,130,51,46,129,68,196,70,121,155,29,117,100,20,115,62,78,34,88,0,6,1787
dlab_metabat2.9,8,10,281,79,318,70,209,225,348,221,411,183,327,53,200,414,153,283,188,244,133,147,38,80,4623
