Date_InitialTag,Transect,TransectNum,TagNum,Species,Meter,Meters_90,Direction,MaxDiameter_cm,MaxHeight_cm,Antibiotic_Treatment,Date_Documented_Probiotic_Sampling,Date_DocumentedDisease,Date_DocumentedMortality,Notes_032024,Notes_062024,032024_Condition,032024_Percentage,062024_Condition,062024_Percentage,092024_Condition,092024_Percentage,092024_Notes,012025_Condition,012025_Percentage,012025_Notes
3/6/24,PLAZADETOROS,4,49,DLAB,2,1,R,30,5,,,62024,Healthy,,,Healthy,NA,Diseased,40%,Diseased,10%,,Healthy,,
3/6/24,PLAZADETOROS,4,68,DLAB,3.1,2.3,L,14,5,,,9/28/24,Healthy,,,CLP,100,Healthy,NA,Diseased,10%,,Healthy,,
3/6/24,PLAZADETOROS,4,51,DLAB,1,7.6,R,16,10,,,9/28/24,Healthy,,,CLP,80,Healthy,NA,Diseased,15%,,Healthy,,
3/6/24,PLAZADETOROS,4,67,PSTR,14.5,8.4,L,20,9,Y,,9/28/24,Healthy,,,Healthy,NA,Healthy,NA,Diseased,15%,,Healthy,,
3/6/24,PLAZADETOROS,4,91,OFRA,24.8,5.9,L,118,14,,9/29/24,Healthy,Healthy,"good, surrounded by dead colonies",,Healthy,NA,CLP,15%,CLP,40%,,Healthy,,
3/6/24,PLAZADETOROS,4,24,MCAV,30.3,2,R,30,19,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,DC,50%,,Healthy,,
3/6/24,PLAZADETOROS,4,55,PSTR,6.7,18,L,43,15,,,9/28/24,Healthy,8SPL EDGE SAND,,Healthy,NA,CLB;CLP,2%;20%,Diseased,55%,,Healthy,,
3/6/24,PLAZADETOROS,4,64,DLAB,52,0.5,L,33,20,,,62024,92024,,,CLP,90,Diseased,80%,Dead,NA,,Dead,,
3/6/24,PLAZADETOROS,4,65,DLAB,53,1.5,L,32,20,,,Healthy,9/28/24,,,CLP,100,Healthy,NA,Dead,NA,,Dead,,
3/6/24,PLAZADETOROS,4,63,CNAT,30,3.3,R,45,28,Y,9/29/24,62024,Healthy,,,Healthy,NA,Diseased,20%,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,71,CNAT,32.5,6.6,L,22,5,,9/29/24,Healthy,Healthy,,,CLP,50,,,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,72,CNAT,32,10,L,20,25,,9/29/24,Healthy,Healthy,Black spots,,Healthy,NA,,,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,66,DLAB,37.4,7.2,L,35,18,,9/29/24,62024,Healthy,,,CLP,100,Diseased;CLP,10%;40%,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,70,DLAB,1,2.5,L,18,8,,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,17,MCAV,1,6,L,29,14,,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,18,MCAV,4.7,7.2,L,45,22,,9/29/24,Healthy,Healthy,Small lesion? SCTLD?,,Healthy,NA,CLB,5%,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,19,MCAV,8.3,8.6,L,38,20,,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,20,MCAV,4.1,7.5,L,26,16,,9/29/24,Healthy,Healthy,,,Healthy,NA,,,Healthy,NA,This is showing up wrong on map ,Healthy,,
3/6/24,PLAZADETOROS,4,21,MCAV,13.7,0.3,R,95,52,Y,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,25,MCAV,17.3,9.2,R,23,15,,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,69,MCAV,3.1,2.2,L,15,5,,9/29/24,Healthy,Healthy,Red,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,88,OFAV,2.8,9.43,L,67,15,,,Healthy,62024,,,Healthy,NA,Dead,95%,Dead,NA,,Dead,,
3/6/24,PLAZADETOROS,4,92,OFAV,24.7,0,L,55,39,Y,,62024,Healthy,near sctld,early stage,Healthy,NA,Diseased,,Diseased,NA,may be predation,Healthy,,
3/6/24,PLAZADETOROS,4,93,OFAV,33.4,0,L,130,65,,,62024,Healthy,,,Healthy,NA,Diseased,50%,Diseased,NA,,CLP,100%,
3/6/24,PLAZADETOROS,4,94,OFAV,39.3,10,L,210,115,,,9/28/24,Healthy,,,Healthy,NA,,,Diseased,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,96,OFAV,24.2,3.3,R,68,19,Y,,62024,Healthy,,early stage,Healthy,NA,Diseased,,Diseased,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,97,OFAV,22.2,2.23,R,90,64,,,9/28/24,Healthy,near sctld,,Healthy,NA,,,Diseased,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,98,OFAV,18.5,1.75,R,112,80,,,9/28/24,Healthy,check photo,,CLP,?,,,Diseased,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,22,MCAV,14.6,0.5,R,30,17,Y,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,23,MCAV,49.4,6.7,R,23,21,,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,95,OFAV,38,18,R,23,11,,9/29/24,Healthy,Healthy,,,Healthy,NA,,,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,56,PSTR,5.5,15.9,L,30,13,,9/29/24,Healthy,Healthy,Edge-sand,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,57,PSTR,6.1,6.2,L,30,8,,9/29/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,Healthy,NA,,Healthy,,
3/6/24,PLAZADETOROS,4,89,OFAV,2.9,7.1,R,120,80,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,not_visited,NA,not_found,Not_found,,
3/6/24,PLAZADETOROS,4,90,OFAV,21.4,4.1,L,27,24,,,62024,Healthy,,,Healthy,NA,Diseased,60%,not_visited,NA,not_found,Not_found,,
3/2/24,NIRVANA,1,26,DLAB,18,12,L,20,1,Y,,Healthy,62024,,,Healthy,NA,Dead,,,,,Dead,,
3/2/24,NIRVANA,1,30,DLAB,36.9,9.2,R,83,21,Y,,Healthy,Healthy,,not found,Healthy,NA,not_visited,,,,,Healthy,,
3/2/24,NIRVANA,1,31,DLAB,36.9,3.9,R,28,13,,,62024,Healthy,,,Healthy,NA,Diseased,25%,,,,Healthy,,
3/2/24,NIRVANA,1,49,DLAB,28.5,10,L,42,18,,,Healthy,Healthy,,,CLP,90,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,50,DLAB,28,8,L,28,14,,,Healthy,Healthy,,,CLP,30,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,52,DLAB,6.5,7,L,25,15,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,53,DLAB,5,5,L,28,15,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,54,DLAB,1,8,L,17,13,,,62024,12025,,,CLB,20,Diseased,50%,,,,Dead,,
3/2/24,NIRVANA,1,56,DLAB,12.2,5.2,R,20,5,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,57,DLAB,15.5,9,R,40,12,Y,,62024,12025,,,CLP,40,Diseased,60%,,,,Dead,,
3/2/24,NIRVANA,1,61,MCAV,22.3,3.9,R,62,26,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,62,MCAV,33.2,9.7,R,50,18,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,63,MCAV,40.1,0.7,L,45,21,,,Healthy,Healthy,growth anomaly?,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,64,MCAV,29.2,1,L,73,62,Y,,62024,Healthy,,,Healthy,NA,Diseased,,,,,Healthy,,
3/2/24,NIRVANA,1,65,MCAV,22.2,0.5,L,55,18,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,66,MCAV,9,7.6,L,67,60,Y,,12025,Diseased,,,Healthy,NA,Healthy,NA,,,,Diseased,,
