Sample	Reads passing filters
032024_COL_SAN_T5_128_MCAV_S1_R1_001	74596443.0
032024_COL_SAN_T5_128_MCAV_S1_R2_001	74596443.0
032024_COL_SAN_T5_129_MCAV_S2_R1_001	71687315.0
032024_COL_SAN_T5_129_MCAV_S2_R2_001	71687315.0
032024_COL_SAN_T5_130_MCAV_S37_R1_001	88591485.0
032024_COL_SAN_T5_130_MCAV_S37_R2_001	88591485.0
032024_COL_SAN_T5_131_MCAV_S3_R1_001	55087302.0
032024_COL_SAN_T5_131_MCAV_S3_R2_001	55087302.0
032024_COL_SAN_T5_132_MCAV_S4_R1_001	87635513.0
032024_COL_SAN_T5_132_MCAV_S4_R2_001	87635513.0
032024_COL_SAN_T5_133_MCAV_S5_R1_001	67927591.0
032024_COL_SAN_T5_133_MCAV_S5_R2_001	67927591.0
032024_COL_SAN_T5_134_MCAV_S6_R1_001	77515908.0
032024_COL_SAN_T5_134_MCAV_S6_R2_001	77515908.0
032024_COL_SAN_T5_136_MCAV_S7_R1_001	76956442.0
032024_COL_SAN_T5_136_MCAV_S7_R2_001	76956442.0
032024_COL_SAN_T5_139_OFAV_S17_R1_001	57213553.0
032024_COL_SAN_T5_139_OFAV_S17_R2_001	57213553.0
032024_COL_SAN_T5_140_OFAV_S18_R1_001	54570317.0
032024_COL_SAN_T5_140_OFAV_S18_R2_001	54570317.0
032024_COL_SAN_T5_141_OFAV_S19_R1_001	50444393.0
032024_COL_SAN_T5_141_OFAV_S19_R2_001	50444393.0
032024_COL_SAN_T5_143_DLAB_S40_R1_001	78376444.0
032024_COL_SAN_T5_143_DLAB_S40_R2_001	78376444.0
032024_COL_SAN_T5_144_PSTR_S9_R1_001	60372491.0
032024_COL_SAN_T5_144_PSTR_S9_R2_001	60372491.0
032024_COL_SAN_T5_146_DLAB_S12_R1_001	54078113.0
032024_COL_SAN_T5_146_DLAB_S12_R2_001	54078113.0
032024_COL_SAN_T5_147_PSTR_S10_R1_001	58643020.0
032024_COL_SAN_T5_147_PSTR_S10_R2_001	58643020.0
032024_COL_SAN_T5_148_DLAB_S13_R1_001	53314227.0
032024_COL_SAN_T5_148_DLAB_S13_R2_001	53314227.0
032024_COL_SAN_T5_149_DLAB_S14_R1_001	58930749.0
032024_COL_SAN_T5_149_DLAB_S14_R2_001	58930749.0
032024_COL_SAN_T5_150_MCAV_S8_R1_001	74088300.0
032024_COL_SAN_T5_150_MCAV_S8_R2_001	74088300.0
032024_COL_SAN_T5_154_PSTR_S38_R1_001	64309974.0
032024_COL_SAN_T5_154_PSTR_S38_R2_001	64309974.0
032024_COL_SAN_T5_158_DLAB_S15_R1_001	48170800.0
032024_COL_SAN_T5_158_DLAB_S15_R2_001	48170800.0
032024_COL_SAN_T5_159_DLAB_S16_R1_001	56436314.0
032024_COL_SAN_T5_159_DLAB_S16_R2_001	56436314.0
032024_COL_SAN_T5_160_DLAB_S41_R1_001	82803578.0
032024_COL_SAN_T5_160_DLAB_S41_R2_001	82803578.0
032024_COL_SAN_T5_161_DLAB_S42_R1_001	77200294.0
032024_COL_SAN_T5_161_DLAB_S42_R2_001	77200294.0
032024_COL_SAN_T5_162_PSTR_S39_R1_001	84730100.0
032024_COL_SAN_T5_162_PSTR_S39_R2_001	84730100.0
032024_COL_SAN_T5_163_PSTR_S11_R1_001	51121508.0
032024_COL_SAN_T5_163_PSTR_S11_R2_001	51121508.0
032024_COL_SAN_T5_166_OFAV_S20_R1_001	64228179.0
032024_COL_SAN_T5_166_OFAV_S20_R2_001	64228179.0
032024_COL_SAN_T5_167_OFAV_S21_R1_001	57158472.0
032024_COL_SAN_T5_167_OFAV_S21_R2_001	57158472.0
