Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	(1, 0.0006717553092268018)	(2, 0.051026586922026294)	(3, 0.0012201543540846101)	(4, 0.03305009304816655)	(5, 0.0004478368728178679)	(6, 0.0002668249631459752)	(7, 0.0)	(8, 1.3408289605325385e-05)	(9, 0.00020380600200094586)	(10, 0.0004556136807889566)	(15, 0.0001633129673928632)	(20, 0.015065275943626423)	(25, 0.0003937569281135867)	(30, 0.0007404797345519662)	(35, 0.008634012190659525)	(40, 0.017907833500220877)	(45, 0.026288866316565917)	(50, 0.0004489102968505171)	(55, 0.008963738137767234)	(60, 0.0012126539634080321)	(65, 0.0006475714966254806)	(70, 0.008775030090564387)	(75, 0.0016787072865002736)	(80, 0.0005483928617709611)	(85, 0.0007238372946691343)	(90, 0.0009083618106941927)	(95, 0.00017076672923800837)	(100, 0.008421966389954669)	(105, 0.01639594240483891)	(110, 0.0008350692347977733)	(115, 0.0005563296784248677)	(120, 0.004829884579849959)	(125, 0.018437325558499324)	(130, 0.0038268943276517815)	(135, 0.0004016818441004854)	(140, 0.0006925670154502876)	(145, 0.0008055464931093456)	(150, 0.02877751696446212)
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	(1, 0.07529693193662577)	(2, 0.03970194552136847)	(3, 0.0)	(4, 0.0005591256765420686)	(5, 0.0003164356346856791)	(6, 0.0009399211013333096)	(7, 0.00044649604385733535)	(8, 0.00033118475325153704)	(9, 0.0010619365367417707)	(10, 0.0010799036448129067)	(15, 0.0010622047025338772)	(20, 0.04380400030925709)	(25, 0.001734214621330105)	(30, 0.0012074064102328365)	(35, 0.0008458232585602033)	(40, 0.002026364577180994)	(45, 0.003526627014774455)	(50, 0.010278505172777166)	(55, 0.0010825587787583395)	(60, 0.0019366965490983444)	(65, 0.005344064897750548)	(70, 0.0008602032520201219)	(75, 0.000979957993224499)	(80, 0.0008012708328891805)	(85, 0.009296817313849555)	(90, 0.01837854284367395)	(95, 0.001652770273261781)	(100, 0.002305413564219003)	(105, 0.00215708178468752)	(110, 0.0007949973474455503)	(115, 0.004342570857410315)	(120, 0.0015037426589601904)	(125, 0.002343784635701868)	(130, 0.0013605228384612604)	(135, 0.0014997155677304965)	(140, 0.0020494765112805424)	(145, 0.00264354870786372)	(150, 0.006935079239335863)
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	(1, 0.000717182749885167)	(2, 0.051882730295194655)	(3, 0.0012976263762513724)	(4, 0.03328202360507955)	(5, 0.0005037022815341348)	(6, 0.00022324754860238665)	(7, 0.0)	(8, 1.5348268966414082e-05)	(9, 0.00018417922759696897)	(10, 0.0004593318312494105)	(15, 0.00016241259160823627)	(20, 0.01446638537543683)	(25, 0.00038323602157566884)	(30, 0.0007172379042671384)	(35, 0.008598780395702235)	(40, 0.01711175425787951)	(45, 0.024799249951496644)	(50, 0.0004223333179036795)	(55, 0.008591638587463145)	(60, 0.0011996133910134755)	(65, 0.0006155740865345946)	(70, 0.007952080942339493)	(75, 0.0016654791072446445)	(80, 0.0005464324456153562)	(85, 0.0007245893348455273)	(90, 0.0009250244690258052)	(95, 0.00018241349616879903)	(100, 0.008371303458012307)	(105, 0.01644802335373137)	(110, 0.000814226852877068)	(115, 0.0005197024636290487)	(120, 0.004609299111706333)	(125, 0.018256701148128184)	(130, 0.003643672214882208)	(135, 0.0003708291054790203)	(140, 0.0006405339845046465)	(145, 0.0007866669320262999)	(150, 0.028703120315538344)
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	(1, 0.07535581473355685)	(2, 0.039929219364715614)	(3, 0.0)	(4, 0.0005609094658634964)	(5, 0.0003153371624008711)	(6, 0.0009264773266999045)	(7, 0.00046463396052871716)	(8, 0.00037812553544529237)	(9, 0.0010757741248277506)	(10, 0.0010551237265820298)	(15, 0.0010640536285261254)	(20, 0.041628778925814625)	(25, 0.001672983793151714)	(30, 0.0011822678550298686)	(35, 0.0008042589934613184)	(40, 0.0019495000653280993)	(45, 0.0033950537570591587)	(50, 0.009863339898095009)	(55, 0.001050394428985591)	(60, 0.0018381835844969155)	(65, 0.005143491113627058)	(70, 0.0008453819545199935)	(75, 0.0009676373383314862)	(80, 0.00077950355797397)	(85, 0.009069390747906289)	(90, 0.018343249416749516)	(95, 0.001600434792341602)	(100, 0.002213074147059921)	(105, 0.0021666910635297983)	(110, 0.0007724451764463374)	(115, 0.004219922912346285)	(120, 0.0014216564603678266)	(125, 0.0022307183878605102)	(130, 0.0013049299566474594)	(135, 0.0014316915072700891)	(140, 0.0019596860854390642)	(145, 0.00243919040484254)	(150, 0.006465264720787472)
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	(1, 0.0007756411116930992)	(2, 0.052403758659731)	(3, 0.0013051544761531625)	(4, 0.033553534495498125)	(5, 0.00047306204628734863)	(6, 0.00023709553632540148)	(7, 0.0)	(8, 1.0161237271088634e-05)	(9, 0.0001862893499699583)	(10, 0.0004432557502921553)	(15, 0.0001731926441538885)	(20, 0.01531707539467488)	(25, 0.00043003042779216907)	(30, 0.000727431317979445)	(35, 0.008737161921110966)	(40, 0.017864648914804684)	(45, 0.02623344178055427)	(50, 0.00042299437696835887)	(55, 0.008935761306924628)	(60, 0.0012213711524739295)	(65, 0.0006541945169600077)	(70, 0.00873347654652233)	(75, 0.0016659348647657824)	(80, 0.0005658034080488089)	(85, 0.0007514643604470064)	(90, 0.0009634310665290077)	(95, 0.0001897503862789753)	(100, 0.008452685777198729)	(105, 0.0165595570176583)	(110, 0.0008488339457099329)	(115, 0.0005516647958605541)	(120, 0.004838664977200072)	(125, 0.018519641777214765)	(130, 0.003843902899851157)	(135, 0.00043469126135286493)	(140, 0.0007019392263947517)	(145, 0.0008528225544312475)	(150, 0.029690412511038728)
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	(1, 0.0749955761924514)	(2, 0.03992124318538034)	(3, 0.0)	(4, 0.0006153193680825896)	(5, 0.00041209462266081684)	(6, 0.0008885437480385284)	(7, 0.000482094257194983)	(8, 0.0002845146435904818)	(9, 0.0011516068907233786)	(10, 0.0011247360632731663)	(15, 0.001048865491649038)	(20, 0.04341525292562797)	(25, 0.0017045592746648389)	(30, 0.0012359749980521751)	(35, 0.0008551395037323832)	(40, 0.002065492496759233)	(45, 0.0034935686026726595)	(50, 0.010089175028266567)	(55, 0.0010908392686299604)	(60, 0.0019863355932957403)	(65, 0.005257692554208825)	(70, 0.0008885758569359335)	(75, 0.0009789605446101587)	(80, 0.0007876722412382141)	(85, 0.009323789733993254)	(90, 0.018535206811207707)	(95, 0.0016849603649368987)	(100, 0.002400834603649411)	(105, 0.0023183583767938045)	(110, 0.000813559019699152)	(115, 0.004360654751145459)	(120, 0.0015808246782888238)	(125, 0.002486040841606165)	(130, 0.0014136476656972177)	(135, 0.0016485761405828007)	(140, 0.0021787844842186322)	(145, 0.00286962182028526)	(150, 0.00715092144171961)
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	(1, 0.0006863508831619989)	(2, 0.0507554662355221)	(3, 0.001151181110911924)	(4, 0.03361666733032076)	(5, 0.0005047765754471844)	(6, 0.0002088104538720367)	(7, 0.0)	(8, 1.0894458462888871e-05)	(9, 0.00017794282156051824)	(10, 0.0004361414871309845)	(15, 0.000157606499096459)	(20, 0.014407402051291863)	(25, 0.00037193745960242505)	(30, 0.0007171459969635225)	(35, 0.008597771086803032)	(40, 0.017284457382674246)	(45, 0.02523746529044139)	(50, 0.0004393255405928962)	(55, 0.00876801048493974)	(60, 0.0011858535015147314)	(65, 0.0005852401260267086)	(70, 0.00825936099025161)	(75, 0.0016052091498891124)	(80, 0.000515206846749193)	(85, 0.0006973116194468531)	(90, 0.0009147860257784944)	(95, 0.00017556131737025526)	(100, 0.00837462061218156)	(105, 0.016215878796852275)	(110, 0.0008069120766185022)	(115, 0.0005073268161299998)	(120, 0.0046004192376451255)	(125, 0.018167018366329935)	(130, 0.003619426148496099)	(135, 0.0003516000401125644)	(140, 0.0006458999343259333)	(145, 0.0007664670192179895)	(150, 0.02792011702455628)
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	(1, 0.07213765671201866)	(2, 0.040531016968100894)	(3, 0.0)	(4, 0.0005374599508358509)	(5, 0.00029051889234370324)	(6, 0.0009096872816512209)	(7, 0.000463014484672777)	(8, 0.0003014133508065921)	(9, 0.0009550808585799244)	(10, 0.0009913957201228873)	(15, 0.0009452758459633244)	(20, 0.04257401732234393)	(25, 0.0015920479729370014)	(30, 0.0010750123710038778)	(35, 0.0007862362257286385)	(40, 0.0018814451021875152)	(45, 0.003363875740890084)	(50, 0.009640876459967727)	(55, 0.0010245162849977477)	(60, 0.001876322950709335)	(65, 0.004885500360745959)	(70, 0.0008254847415550147)	(75, 0.0009209227960575008)	(80, 0.0007205417856830095)	(85, 0.008958900480793104)	(90, 0.018065809170188143)	(95, 0.0015301770065104892)	(100, 0.0021458555964927965)	(105, 0.0020593685941746828)	(110, 0.000735560099275821)	(115, 0.0040504133037896645)	(120, 0.00140146920041655)	(125, 0.002145172833588204)	(130, 0.0012337182660718358)	(135, 0.001388526726341318)	(140, 0.0018584684000975953)	(145, 0.002411010228301747)	(150, 0.006185799782203485)
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	(1, 0.0006631371865225825)	(2, 0.048642995895386267)	(3, 0.0011196860240596444)	(4, 0.03257133544198784)	(5, 0.00048280039569544296)	(6, 0.00021457795364241908)	(7, 0.0)	(8, 1.0272348844583893e-05)	(9, 0.00018376090710866744)	(10, 0.00043303657240390317)	(15, 0.00014632390243062834)	(20, 0.014673678405212949)	(25, 0.0003892846338210759)	(30, 0.0007346564097152626)	(35, 0.008621510155961942)	(40, 0.017996890541433976)	(45, 0.025976148908090215)	(50, 0.0004311932080421219)	(55, 0.009003143471595563)	(60, 0.001212481200446941)	(65, 0.0006559604136253127)	(70, 0.008638997332847516)	(75, 0.0016272502587894543)	(80, 0.0005151784372150391)	(85, 0.0006912049083499548)	(90, 0.0009054946368450709)	(95, 0.00015889893928325521)	(100, 0.008329285666651259)	(105, 0.016156322067919903)	(110, 0.0007806434074644772)	(115, 0.000525032779207571)	(120, 0.004717948882897183)	(125, 0.018543077247384274)	(130, 0.003645255042510425)	(135, 0.00038212606974992144)	(140, 0.0006573200561758007)	(145, 0.0007821410211902375)	(150, 0.029241877248910562)
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	(1, 0.07437979523944428)	(2, 0.039087428725735555)	(3, 0.0)	(4, 0.0005113346980415094)	(5, 0.00021457795364241908)	(6, 0.0008343430005989806)	(7, 0.0004759521631323871)	(8, 0.00028420165136682103)	(9, 0.0010044074425815362)	(10, 0.0009886565076865075)	(15, 0.0010393334286531214)	(20, 0.043742984674086306)	(25, 0.0016828252074561195)	(30, 0.0011005443265731103)	(35, 0.0007765104567339415)	(40, 0.0019278211328818138)	(45, 0.003360208113128476)	(50, 0.00985280855995714)	(55, 0.0010365653665092378)	(60, 0.0018599888479495803)	(65, 0.005056104802459554)	(70, 0.0007994165839393018)	(75, 0.0009212196206566305)	(80, 0.0007299600817566373)	(85, 0.009080229451499278)	(90, 0.018391303191177318)	(95, 0.0015101265621315309)	(100, 0.002210287994976905)	(105, 0.0019558517506731766)	(110, 0.0007500668858424715)	(115, 0.0041676506987571625)	(120, 0.001433757707980125)	(125, 0.002156983385860284)	(130, 0.0013160190174871251)	(135, 0.0014033319195258767)	(140, 0.001984432520521235)	(145, 0.0025638038645664813)	(150, 0.006643221831351353)
