Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
032024_COL_SAN_T5_128_MCAV_S1_R1_001_val_1	(1, 38.744830460759246)	(2, 38.9979406476161)	(3, 39.15595959320751)	(4, 39.026421007850715)	(5, 39.0202274775328)	(6, 38.957864530365)	(7, 39.02494059859539)	(8, 39.00019543922929)	(9, 39.00799793748326)	(10, 38.9909391766731)	(15, 39.2453236069243)	(20, 39.30532727308507)	(25, 39.07959887160858)	(30, 39.01202514126454)	(35, 39.003957598391175)	(40, 38.96945545398267)	(45, 38.93936442550006)	(50, 38.92381608753918)	(55, 38.87552366305488)	(60, 38.83945111095248)	(65, 38.79135812995539)	(70, 38.754098422791856)	(75, 38.710531724955004)	(80, 38.63979496028876)	(85, 38.60878161440065)	(90, 38.538032992367036)	(95, 38.49135612342257)	(100, 38.444018250396724)	(105, 38.38683038644506)	(110, 38.34142500791566)	(115, 38.28787789856443)	(120, 38.2093500138414)	(125, 38.15920400136025)	(130, 38.116973097387316)	(135, 38.05792140533376)	(140, 37.99523789383483)	(145, 37.98042815951656)	(150, 38.35347401145768)
032024_COL_SAN_T5_128_MCAV_S1_R2_001_val_2	(1, 38.34092922772221)	(2, 39.033645313840324)	(3, 39.17626505335266)	(4, 39.17470473069128)	(5, 39.23141431389621)	(6, 39.23186764816777)	(7, 39.27266231565881)	(8, 39.2910319405839)	(9, 39.297163578237)	(10, 39.30992622651792)	(15, 39.33879763147391)	(20, 39.31721564184241)	(25, 39.15982634596121)	(30, 39.10304122634086)	(35, 39.07410281081004)	(40, 39.04864374912874)	(45, 39.02341080573084)	(50, 38.98598250009474)	(55, 38.949321442237384)	(60, 38.91194165804903)	(65, 38.858235715454406)	(70, 38.812729451867064)	(75, 38.75032166959585)	(80, 38.68772557112251)	(85, 38.620553260632406)	(90, 38.54818244676781)	(95, 38.508321840992565)	(100, 38.45547824507029)	(105, 38.394199462846345)	(110, 38.327633247614116)	(115, 38.28351708017529)	(120, 38.2144336930924)	(125, 38.15964483053248)	(130, 38.094064780382865)	(135, 38.03502666617135)	(140, 38.003862502971195)	(145, 37.9997384821731)	(150, 38.36272148097726)
032024_COL_SAN_T5_129_MCAV_S2_R1_001_val_1	(1, 38.7333188594506)	(2, 39.01631281000015)	(3, 39.17065193307262)	(4, 39.0464378621145)	(5, 39.04424417589004)	(6, 38.98460071896873)	(7, 39.05385741067447)	(8, 39.032901637688205)	(9, 39.04186924056207)	(10, 39.02362337468808)	(15, 39.265522340661256)	(20, 39.32320213644042)	(25, 39.09907601526406)	(30, 39.03305599606258)	(35, 39.02241959065856)	(40, 38.98993592129093)	(45, 38.96120028631725)	(50, 38.945657914780085)	(55, 38.89907384078752)	(60, 38.86266055239812)	(65, 38.81739326310193)	(70, 38.780982172288006)	(75, 38.739484145565925)	(80, 38.66969302049115)	(85, 38.64090001609951)	(90, 38.571399911060965)	(95, 38.52636771523989)	(100, 38.48125790871096)	(105, 38.42482614279899)	(110, 38.38376883046796)	(115, 38.33229325948115)	(120, 38.25874789723464)	(125, 38.211407855752576)	(130, 38.1742732477925)	(135, 38.12015740444773)	(140, 38.06815890660906)	(145, 38.05783864920255)	(150, 38.41227807360009)
032024_COL_SAN_T5_129_MCAV_S2_R2_001_val_2	(1, 38.42991514360678)	(2, 38.9340040340832)	(3, 39.14301293775356)	(4, 39.156703314612166)	(5, 39.211397680346344)	(6, 39.220252236242786)	(7, 39.24339990947312)	(8, 39.262329292366665)	(9, 39.26618701000651)	(10, 39.28220303471555)	(15, 39.30876286254704)	(20, 39.29188019411212)	(25, 39.12821132600963)	(30, 39.0707835564026)	(35, 39.042742861022504)	(40, 39.020038193570166)	(45, 38.99715181728446)	(50, 38.96096605059633)	(55, 38.924259200108565)	(60, 38.8869409596358)	(65, 38.833947143419174)	(70, 38.78814352233381)	(75, 38.725568591310434)	(80, 38.664233780265945)	(85, 38.59624926673057)	(90, 38.52229896047611)	(95, 38.481443138781806)	(100, 38.43030695038396)	(105, 38.36944415345788)	(110, 38.30604367709325)	(115, 38.26348487582034)	(120, 38.196041220020135)	(125, 38.14624450259493)	(130, 38.08566128339101)	(135, 38.03276967285683)	(140, 38.00965445308399)	(145, 38.01174512518732)	(150, 38.36971803276825)
032024_COL_SAN_T5_130_MCAV_S37_R1_001_val_1	(1, 38.77231296777891)	(2, 39.00324334274403)	(3, 39.157183580962496)	(4, 39.054142651193935)	(5, 39.049604552306555)	(6, 39.00409094799613)	(7, 39.06608948881988)	(8, 39.066065711524665)	(9, 39.08854521351475)	(10, 39.062725852832926)	(15, 39.283276672957115)	(20, 39.33647824601553)	(25, 39.122108971581085)	(30, 39.05255008019476)	(35, 39.042097701963925)	(40, 38.99967875576569)	(45, 38.972007350610866)	(50, 38.94585158351614)	(55, 38.9024045489014)	(60, 38.856795184077875)	(65, 38.81065757695211)	(70, 38.767743866267594)	(75, 38.72229158837244)	(80, 38.64790263987764)	(85, 38.61251063602772)	(90, 38.54422889847454)	(95, 38.491823840030904)	(100, 38.44604226291479)	(105, 38.38502206339365)	(110, 38.340722325974184)	(115, 38.2814993772676)	(120, 38.204128642743306)	(125, 38.14682462881514)	(130, 38.10089700838517)	(135, 38.030842909728925)	(140, 37.96464638462377)	(145, 37.939871637167414)	(150, 38.31735742020538)
032024_COL_SAN_T5_130_MCAV_S37_R2_001_val_2	(1, 38.43743896130658)	(2, 39.07165777910285)	(3, 39.19864337095388)	(4, 39.21040301600877)	(5, 39.256305886028784)	(6, 39.245479381263294)	(7, 39.23821188372279)	(8, 39.27464378060981)	(9, 39.29179626525079)	(10, 39.31243436588703)	(15, 39.3392759289739)	(20, 39.319681297766785)	(25, 39.16861008544574)	(30, 39.11084230149645)	(35, 39.07979437656935)	(40, 39.052403294247526)	(45, 39.026223275734424)	(50, 38.98638847752675)	(55, 38.95009581854739)	(60, 38.91253133013633)	(65, 38.858171773177716)	(70, 38.81214923765545)	(75, 38.74951124549451)	(80, 38.68602920674057)	(85, 38.61632565522166)	(90, 38.545826571871125)	(95, 38.50314867692356)	(100, 38.4488934244293)	(105, 38.38815287121321)	(110, 38.31838812721652)	(115, 38.26981843840848)	(120, 38.19362683914888)	(125, 38.1334982411103)	(130, 38.059138131519525)	(135, 37.988429981335024)	(140, 37.9471923074616)	(145, 37.93240970800289)	(150, 38.30637675391552)
032024_COL_SAN_T5_131_MCAV_S3_R1_001_val_1	(1, 38.75773497018214)	(2, 39.017261997072985)	(3, 39.171625034310736)	(4, 39.04052446213559)	(5, 39.032927828879146)	(6, 38.96772721859337)	(7, 39.03404167831239)	(8, 39.01430723836354)	(9, 39.023514435729425)	(10, 39.008134823136004)	(15, 39.26100962105968)	(20, 39.32427712152275)	(25, 39.1043189019791)	(30, 39.03954095903766)	(35, 39.03355812475668)	(40, 38.99729557097096)	(45, 38.97493644644998)	(50, 38.95628970104265)	(55, 38.91326759426256)	(60, 38.874469501830006)	(65, 38.83205026453423)	(70, 38.79446669427254)	(75, 38.753736231922375)	(80, 38.68301030126454)	(85, 38.65430589397402)	(90, 38.58483152952792)	(95, 38.53646222727674)	(100, 38.4936748026865)	(105, 38.4342014070437)	(110, 38.39349982117564)	(115, 38.33887713393567)	(120, 38.266331308567175)	(125, 38.216392458469066)	(130, 38.18114668447207)	(135, 38.12612564987917)	(140, 38.073884746559905)	(145, 38.062464357108226)	(150, 38.41810836929414)
032024_COL_SAN_T5_131_MCAV_S3_R2_001_val_2	(1, 38.2628467499588)	(2, 38.827801154562025)	(3, 39.02476090703702)	(4, 39.031330483379314)	(5, 39.100094489453994)	(6, 39.10587505279954)	(7, 39.14116067853665)	(8, 39.16539645451833)	(9, 39.17545320175515)	(10, 39.20014733665626)	(15, 39.23863021722225)	(20, 39.227633141242286)	(25, 39.039808201712816)	(30, 38.97889544705812)	(35, 38.9543977614684)	(40, 38.93414538823373)	(45, 38.91592065030427)	(50, 38.8833510950243)	(55, 38.85101355798035)	(60, 38.81855887143375)	(65, 38.76817494749126)	(70, 38.72647942493329)	(75, 38.666172332587756)	(80, 38.6061868442454)	(85, 38.54029462924754)	(90, 38.467903063709265)	(95, 38.42863409306593)	(100, 38.37850922307361)	(105, 38.31705984085596)	(110, 38.25339103916954)	(115, 38.21150578534814)	(120, 38.14500951523749)	(125, 38.09582691624478)	(130, 38.036101299250774)	(135, 37.98439030592694)	(140, 37.9639321598824)	(145, 37.96954157124593)	(150, 38.347511951237365)
032024_COL_SAN_T5_132_MCAV_S4_R1_001_val_1	(1, 38.69237804384962)	(2, 38.95125938254943)	(3, 39.097608554958214)	(4, 38.94089396622431)	(5, 38.937932151295676)	(6, 38.860851253341266)	(7, 38.93314904891689)	(8, 38.90060398786051)	(9, 38.90456432075172)	(10, 38.88774091611341)	(15, 39.18132338601682)	(20, 39.254079713628556)	(25, 39.01336060075802)	(30, 38.94608681288018)	(35, 38.944672067154066)	(40, 38.91580576646797)	(45, 38.8920959575611)	(50, 38.881921099883435)	(55, 38.837432244706605)	(60, 38.80699279652886)	(65, 38.763247724939696)	(70, 38.73171587617797)	(75, 38.69123767753007)	(80, 38.62211830365935)	(85, 38.597088707721674)	(90, 38.52580245444236)	(95, 38.48126483062116)	(100, 38.43561500041185)	(105, 38.37835525937846)	(110, 38.334266797441174)	(115, 38.27938695299728)	(120, 38.19738295528672)	(125, 38.14772039931808)	(130, 38.10659960060025)	(135, 38.04772140782775)	(140, 37.98506033936549)	(145, 37.96623405840696)	(150, 38.33620283946267)
032024_COL_SAN_T5_132_MCAV_S4_R2_001_val_2	(1, 38.12526513075039)	(2, 38.815579596681786)	(3, 39.026922810500494)	(4, 39.046123245792415)	(5, 39.116337626402824)	(6, 39.12549090556428)	(7, 39.15569699844364)	(8, 39.17617809887974)	(9, 39.1817396626814)	(10, 39.20848384160097)	(15, 39.24261530486157)	(20, 39.22474764878837)	(25, 39.045454012475695)	(30, 38.98566529144212)	(35, 38.961429848950765)	(40, 38.94266452311862)	(45, 38.92623915968394)	(50, 38.895563405325724)	(55, 38.86569211870667)	(60, 38.836264589409524)	(65, 38.788474122713794)	(70, 38.74946657181732)	(75, 38.691896777407315)	(80, 38.634006286870836)	(85, 38.569211245508406)	(90, 38.49815331110168)	(95, 38.460837360701696)	(100, 38.41255929107518)	(105, 38.351366187700236)	(110, 38.28656906235776)	(115, 38.24345502552183)	(120, 38.173309166157466)	(125, 38.11957145578307)	(130, 38.05379107632929)	(135, 37.9969453164245)	(140, 37.9674107549812)	(145, 37.96267068309222)	(150, 38.33565123648022)
