taxonomy_id,name,taxonomy_lvl
49546,Flavobacteriaceae,F
543,Enterobacteriaceae,F
186817,Bacillaceae,F
41297,Sphingomonadaceae,F
41294,Nitrobacteraceae,F
2062,Streptomycetaceae,F
31979,Clostridiaceae,F
641,Vibrionaceae,F
2762318,Weeksellaceae,F
84566,Sphingobacteriaceae,F
135621,Pseudomonadaceae,F
186822,Paenibacillaceae,F
90964,Staphylococcaceae,F
33958,Lactobacillaceae,F
2887365,Marinobacteraceae,F
468,Moraxellaceae,F
1639119,Plasmodiidae,F
186803,Lachnospiraceae,F
82115,Rhizobiaceae,F
1300,Streptococcaceae,F
119060,Burkholderiaceae,F
81852,Enterococcaceae,F
2808963,Arcobacteraceae,F
72275,Alteromonadaceae,F
267888,Pseudoalteromonadaceae,F
4893,Saccharomycetaceae,F
2895623,Metamycoplasmataceae,F
712,Pasteurellaceae,F
1903414,Morganellaceae,F
36751,Glomeraceae,F
1162,Nostocaceae,F
72294,Campylobacteraceae,F
1884633,Cryptococcaceae,F
1903411,Yersiniaceae,F
1903409,Erwiniaceae,F
815,Bacteroidaceae,F
543314,Anaerovoracaceae,F
267890,Shewanellaceae,F
85023,Microbacteriaceae,F
203492,Fusobacteriaceae,F
32033,Lysobacteraceae,F
186804,Peptostreptococcaceae,F
563835,Chitinophagaceae,F
186818,Caryophanaceae,F
5654,Trypanosomatidae,F
80864,Comamonadaceae,F
110618,Nectriaceae,F
2131,Spiroplasmataceae,F
1762,Mycobacteriaceae,F
506,Alcaligenaceae,F
75682,Oxalobacteraceae,F
1268,Micrococcaceae,F
2854170,Roseobacteraceae,F
563798,Cyclobacteriaceae,F
28056,Micromonosporaceae,F
1853232,Hymenobacteraceae,F
766764,Debaryomycetaceae,F
72293,Helicobacteraceae,F
1471398,Prolixibacteraceae,F
135620,Oceanospirillaceae,F
171552,Prevotellaceae,F
481,Neisseriaceae,F
216572,Oscillospiraceae,F
942,Anaplasmataceae,F
28256,Halomonadaceae,F
2881426,Prochlorococcaceae,F
170,Leptospiraceae,F
1131492,Aspergillaceae,F
84642,Aeromonadaceae,F
31989,Paracoccaceae,F
444,Legionellaceae,F
2070,Pseudonocardiaceae,F
2206,Methanosarcinaceae,F
2092,Mycoplasmataceae,F
267889,Colwelliaceae,F
775,Rickettsiaceae,F
1903410,Pectobacteriaceae,F
186828,Carnobacteriaceae,F
3423717,Sphingobiaceae,F
118883,Sulfolobaceae,F
1570339,Peptoniphilaceae,F
