taxonomy_id,name,taxonomy_lvl
28213,Sphingomonas parapaucimobilis,S
562,Escherichia coli,S
2961995,Marinobacter metalliresistant,S
2721244,Streptomyces sp. RPA4-2,S
588596,Rhizophagus irregularis,S
2057741,Bradyrhizobium sp. SK17,S
573,Klebsiella pneumoniae,S
158836,Enterobacter hormaechei,S
28901,Salmonella enterica,S
2562892,Myroides albus,S
114527,Mogibacterium diversum,S
1280,Staphylococcus aureus,S
1396,Bacillus cereus,S
28108,Alteromonas macleodii,S
5858,Plasmodium malariae,S
1325120,Bradyrhizobium sp. CCBAU 53421,S
238834,Clostridium estertheticum,S
3394320,Salipaludibacillus sp. HK11,S
1428,Bacillus thuringiensis,S
2726954,Candidatus Sarcina troglodytae,S
76859,Fusobacterium animalis,S
9,Buchnera aphidicola,S
1316596,Capnocytophaga sp. oral taxon 878,S
5722,Trichomonas vaginalis,S
1404,Priestia megaterium,S
1491,Clostridium botulinum,S
587753,Pseudomonas chlororaphis,S
563996,Sphingomonas hankookensis,S
208375,Bradyrhizobium sp. Pha-3,S
2929803,Mucilaginibacter sp. SMC90,S
2716812,Candidatus Protofrankia datiscae,S
188144,Enterovibrio norvegicus,S
1908198,Salinivibrio kushneri,S
2653203,Sphingomonas sp. CL5.1,S
5833,Plasmodium falciparum,S
470,Acinetobacter baumannii,S
2004662,Hyphobacterium sp.,S
2121,Metamycoplasma orale,S
492670,Bacillus velezensis,S
546,Citrobacter freundii,S
287,Pseudomonas aeruginosa,S
2991499,Algoriphagus halophytocola,S
3445768,Parapusillimonas sp. JC17,S
501572,Sinorhizobium chiapasense,S
3344828,Bradyrhizobium sp. ma5,S
1502,Clostridium perfringens,S
2100,Mesomycoplasma hyorhinis,S
3140244,Bradyrhizobium sp. B097,S
39152,Methanococcus maripaludis,S
4779,Bremia lactucae,S
152682,Sphingomonas melonis,S
1914871,Dolichospermum sp. UHCC 0315A,S
2704140,Flavobacterium bizetiae,S
2527975,Kolteria novifilia,S
3140247,Bradyrhizobium sp. B024,S
2895286,Pedobacter mucosus,S
2294119,Flavobacterium psychrotrophum,S
1351,Enterococcus faecalis,S
237612,Sphingomonas panni,S
1325358,Paenibacillus silvae,S
587,Providencia rettgeri,S
1573823,uncultured Draconibacterium sp.,S
2975964,Kitasatospora sp. NBC_00374,S
64104,Bacillus pseudomycoides,S
632773,Salisediminibacterium beveridgei,S
36835,[Clostridium] colinum,S
2905879,Acinetobacter sp. SH20PTE14,S
907046,Flavobacterium sp. B183,S
165179,Segatella copri,S
5821,Plasmodium berghei,S
1772,Mycolicibacterium smegmatis,S
5825,Plasmodium chabaudi,S
13689,Sphingomonas paucimobilis,S
224012,Nostoc piscinale,S
1126,Microcystis aeruginosa,S
945844,Massilia oculi,S
663,Vibrio alginolyticus,S
1219,Prochlorococcus marinus,S
3140245,Bradyrhizobium sp. B124,S
986,Flavobacterium johnsoniae,S
210,Helicobacter pylori,S
36745,Clostridium saccharoperbutylacetonicum,S
1411316,Pedobacter sp.,S
648995,Agrobacterium pusense,S
716,Actinobacillus suis,S
1747,Cutibacterium acnes,S
1578925,Pyricularia pennisetigena,S
250,Chryseobacterium gleum,S
197,Campylobacter jejuni,S
384,Rhizobium leguminosarum,S
2686363,Formosa sp. L2A11,S
500148,Metarhizium brunneum,S
85471,Plasmodium relictum,S
1286,Staphylococcus simulans,S
253,Chryseobacterium indologenes,S
1358,Lactococcus lactis,S
3410088,Bradyrhizobium sp. B120,S
157268,Helicobacter winghamensis,S
1404443,Bradyrhizobium sp. 41S5,S
1405,Bacillus mycoides,S
371142,Sphingobacterium daejeonense,S
208962,Escherichia albertii,S
2583822,Plantibacter sp. M259,S
44689,Dictyostelium discoideum,S
176102,Pseudoalteromonas agarivorans,S
5691,Trypanosoma brucei,S
1917830,Leptospira kobayashii,S
2835869,Paenibacillus sp. 481,S
40559,Botrytis cinerea,S
3374600,Halosquirtibacter laminarini,S
2004647,Acinetobacter sp. WCHAc010052,S
1421,Lysinibacillus sphaericus,S
1653831,Blattabacterium cuenoti,S
1325100,Bradyrhizobium sp. CCBAU 51753,S
159,Brachyspira hyodysenteriae,S
1795815,Streptomyces sp. enrichment culture,S
664683,Vreelandella titanicae,S
3139728,Bradyrhizobium sp. 27S5,S
1406,Paenibacillus polymyxa,S
29448,Bradyrhizobium elkanii,S
1117645,Elizabethkingia anophelis,S
1660079,Campylobacter sp. RM12651,S
5811,Toxoplasma gondii,S
195108,Fusarium falciforme,S
1390395,Sphingomonas sp. LK11,S
1492,Clostridium butyricum,S
1423,Bacillus subtilis,S
1624,Ligilactobacillus salivarius,S
1004,Chitinophaga sancti,S
208348,Puccinia triticina,S
3426548,Avipoxvirus canarypox,S
615,Serratia marcescens,S
1596,Lactobacillus gasseri,S
1970093,Clostridium sp. 001,S
196024,Aeromonas dhakensis,S
3066139,Wolbachia endosymbiont (group A) of Beris morrisii,S
1855336,Polaribacter sp. KT25b,S
246432,Staphylococcus equorum,S
2735870,Spirosoma taeanense,S
913109,Arcobacter ellisii,S
83637,Bradyrhizobium genosp. L,S
1813611,Chryseobacterium cucumeris,S
42858,Mammaliicoccus lentus,S
46867,Clostridium chauvoei,S
1520,Clostridium beijerinckii,S
254,Chryseobacterium indoltheticum,S
71452,Enterococcus raffinosus,S
273371,Candida orthopsilosis,S
585,Proteus vulgaris,S
2921503,Oceanobacillus sp. FSL K6-3682,S
288965,Acetivibrio clariflavus,S
4896,Schizosaccharomyces pombe,S
47886,Pseudomonas luteola,S
3158364,Variovorax sp. 375MFSha3.1,S
3082536,Prochlorococcus sp. MIT 1227,S
2587410,Thermothielavioides terrestris,S
126385,Providencia alcalifaciens,S
1404429,Bradyrhizobium sp. 2S1,S
3025667,Flavobacterium sp. KACC 22758,S
104270,Tenacibaculum ovolyticum,S
2653189,Chroococcidiopsis sp. CCNUC1,S
4975,Kwoniella dendrophila,S
818,Bacteroides thetaiotaomicron,S
28198,Aliarcobacter cryaerophilus,S
1590,Lactiplantibacillus plantarum,S
1159556,Ustilaginoidea virens,S
869888,Salinarchaeum laminariae,S
1878942,Candidatus Fukatsuia symbiotica,S
747,Pasteurella multocida,S
550,Enterobacter cloacae,S
2219696,Sphingomonas sp. FARSPH,S
2724901,Nitratiruptor sp. YY09-18,S
519472,Vagococcus teuberi,S
1197460,Bradyrhizobium sp. 6(2017),S
76857,Fusobacterium polymorphum,S
2588536,Candidatus Methylopumilus universalis,S
2058762,Flagellimonas sp.,S
2903894,Streptomyces sp. NBC_01527,S
680,Vibrio campbellii,S
676,Vibrio fluvialis,S
459526,Flavobacterium anhuiense,S
51669,Tetragenococcus halophilus,S
38289,Corynebacterium jeikeium,S
54006,Aedoeadaptatus ivorii,S
27289,Naumovozyma dairenensis,S
28197,Aliarcobacter butzleri,S
54299,Chroococcidiopsis thermalis,S
575,Raoultella planticola,S
2562285,Constantimarinum furrinae,S
3458683,Flavobacterium sp. HNIBRBA15423,S
388950,Pontibacter akesuensis,S
2487064,Chryseobacterium sp. G0186,S
1151742,Lactococcus taiwanensis,S
230361,Methanobrevibacter millerae,S
858423,Bradyrhizobium arachidis,S
1736674,Pseudalgibacter alginicilyticus,S
656366,Arthrobacter alpinus,S
2968057,Sphingomonas sp. NY01,S
538966,Dyadobacter sp. 32,S
2748,Carnobacterium divergens,S
27350,Puccinia striiformis,S
1434099,Methanosarcina sp. Kolksee,S
173,Leptospira interrogans,S
5499,Fulvia fulva,S
5860,Plasmodium vinckei,S
1936156,Roseibium sp.,S
3100987,Candidatus Marinarcus sp.,S
754417,Winogradskyella sp. PC-19,S
5147,Sordaria macrospora,S
672,Vibrio vulnificus,S
360422,Clostridium tagluense,S
27288,Naumovozyma castellii,S
3243057,Rhizobium sp. Rhizsp82,S
1798205,Cohaesibacter sp. ES.047,S
2893884,Flavobacterium flavipigmentatum,S
387093,Sulfurovum sp. NBC37-1,S
4959,Debaryomyces hansenii,S
3139729,Bradyrhizobium sp. 26S5,S
2748629,Bradyrhizobium quebecense,S
1618022,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',S
5850,Plasmodium knowlesi,S
158849,Moellerella wisconsensis,S
42862,Rickettsia felis,S
2916754,Flaviramulus sp. BrNp1-15,S
1503041,Arcanobacterium pinnipediorum,S
1071379,Henningerozyma blattae,S
351672,Xenorhabdus griffiniae,S
5507,Fusarium oxysporum,S
2686078,Winogradskyella schleiferi,S
2822846,Pseudoalteromonas sp. SCSIO 43088,S
83641,Bradyrhizobium genosp. P,S
2651167,Ignavibacterium sp.,S
2975292,Paenibacillus sp. FSL K6-1330,S
463800,Kwoniella mangrovensis,S
33051,Sphingomonas sanguinis,S
817,Bacteroides fragilis,S
39491,Agathobacter rectalis,S
3230984,Candidatus Pelagibacter sp. Uisw_106,S
2609844,Podospora pseudoanserina,S
40324,Stenotrophomonas maltophilia,S
373,Agrobacterium vitis,S
1855610,Polynucleobacter sp. MWH-UH19D,S
2478663,Chryseobacterium sp. 3008163,S
412384,Priestia aryabhattai,S
154046,Hungatella hathewayi,S
47760,Streptomyces aurantiacus,S
1496,Clostridioides difficile,S
2864218,Candidatus Profftia sp. (ex Adelges kitamiensis),S
2488665,Marinobacter sp. NP-4(2019),S
239,Flavobacterium sp.,S
687844,Flavobacterium ginsenosidimutans,S
1620816,Halotia branconii,S
2829187,Psychrobacillus sp. INOP01,S
2728023,Cohnella herbarum,S
2806443,Turicibacter sp. TJ11,S
645292,Pseudomonas sp. T8,S
2745563,Polaribacter sp. R2A056_3_33,S
121627,Talaromyces rugulosus,S
5861,Plasmodium yoelii,S
158,Treponema denticola,S
643214,Mammaliicoccus stepanovicii,S
1265445,Chryseobacterium camelliae,S
1925548,Candidatus Fonsibacter ubiquis,S
338645,Candidatus Contubernalis alkaliaceticus,S
475937,Rhodopseudomonas boonkerdii,S
2837624,Sphingomonas sp. Xoc002,S
2851567,Modestobacter sp. L9-4,S
36035,Saccharomycodes ludwigii,S
5827,Plasmodium cynomolgi,S
2831892,Enterobacter sp. JBIWA008,S
332186,Shewanella xiamenensis,S
2723091,Mucilaginibacter sp. SP1R1,S
1170562,Calothrix sp. PCC 6303,S
5807,Cryptosporidium parvum,S
3073862,Pectobacterium araliae,S
314275,Alteromonas mediterranea,S
28090,Acinetobacter lwoffii,S
2986838,Flavobacterium sp. N502540,S
104268,Tenacibaculum mesophilum,S
1561,Clostridium baratii,S
80884,Colletotrichum higginsianum,S
2921654,Paenibacillus sp. FSL R5-0701,S
1451,Paenibacillus amylolyticus,S
2963432,Arthrobacter sp. DNA4,S
715471,Amycolatopsis carbonis,S
4911,Kluyveromyces marxianus,S
3241603,Cupriavidus sp. H19C3,S
2572090,Nostoc sp. TCL240-02,S
5127,Fusarium fujikuroi,S
36914,Lodderomyces elongisporus,S
172044,Sphingomonas yabuuchiae,S
3376149,Serratia sp. BNK-12,S
1177712,Komagataeibacter medellinensis,S
1849015,Arcobacter acticola,S
2921670,Sutcliffiella sp. FSL R7-0096,S
