,012025_COL_SAN_T5_568_OFAV_S1,012025_COL_SAN_T5_569_DLAB_S2,012025_COL_SAN_T5_570_DLAB_S3,012025_COL_SAN_T5_571_DLAB_S4,012025_COL_SAN_T5_572_OFAV_S5,012025_COL_SAN_T5_573_PSTR_S6,012025_COL_SAN_T5_574_MCAV_S7,012025_COL_SAN_T5_575_DLAB_S8,012025_COL_SAN_T5_576_PSTR_S9,012025_COL_SAN_T5_577_PSTR_S10,012025_COL_SAN_T5_578_MCAV_S11,012025_COL_SAN_T5_579_DLAB_S12,012025_COL_SAN_T5_580_OFAV_S13,012025_COL_SAN_T5_581_MCAV_S14,012025_COL_SAN_T5_582_PSTR_S15,012025_COL_SAN_T5_583_MCAV_S16,012025_COL_SAN_T5_584_OFAV_S17,012025_COL_SAN_T5_585_OFAV_S18,012025_COL_SAN_T5_586_DLAB_S19,012025_COL_SAN_T5_587_PSTR_S20,012025_COL_SAN_T5_588_MCAV_S21,012025_COL_SAN_T5_589_MCAV_S22,012025_COL_SAN_T5_590_PSTR_S23,012025_COL_SAN_T5_591_MCAV_S24,012025_COL_SAN_T5_592_PSTR_S25,012025_COL_SAN_T5_593_MCAV_S26,012025_COL_SAN_T5_594_MCAV_S27,012025_COL_SAN_T5_595_MCAV_S28,012025_COL_SAN_T5_596_OFAV_S29,032024_COL_SAN_T5_128_MCAV_S1,032024_COL_SAN_T5_129_MCAV_S2,032024_COL_SAN_T5_130_MCAV_S37,032024_COL_SAN_T5_131_MCAV_S3,032024_COL_SAN_T5_132_MCAV_S4,032024_COL_SAN_T5_133_MCAV_S5,032024_COL_SAN_T5_134_MCAV_S6,032024_COL_SAN_T5_136_MCAV_S7,032024_COL_SAN_T5_139_OFAV_S17,032024_COL_SAN_T5_140_OFAV_S18c,032024_COL_SAN_T5_141_OFAV_S19,032024_COL_SAN_T5_143_DLAB_S40,032024_COL_SAN_T5_144_PSTR_S9,032024_COL_SAN_T5_146_DLAB_S12,032024_COL_SAN_T5_147_PSTR_S10,032024_COL_SAN_T5_148_DLAB_S13,032024_COL_SAN_T5_149_DLAB_S14,032024_COL_SAN_T5_150_MCAV_S8,032024_COL_SAN_T5_154_PSTR_S38,032024_COL_SAN_T5_158_DLAB_S15,032024_COL_SAN_T5_159_DLAB_S16,032024_COL_SAN_T5_160_DLAB_S41,032024_COL_SAN_T5_161_DLAB_S42,032024_COL_SAN_T5_162_PSTR_S39,032024_COL_SAN_T5_163_PSTR_S11c,032024_COL_SAN_T5_166_OFAV_S20,032024_COL_SAN_T5_167_OFAV_S21,Sum
49546,76960.56270219175,35031.17516115079,17241.17280697552,19170.362913110697,71075.73440797214,28489.43766569329,60114.190711613766,83282.49186074243,68911.99088578751,56780.51329729862,63866.11724324183,22053.440366128685,65716.90943313901,64481.5037830196,57269.000998982956,54137.39266198283,69245.22760646108,69293.16338354578,56279.17172842776,64651.30119569335,66048.3608849785,64507.635597682995,68898.3565244333,59631.817166981265,62531.59978890418,43235.03979388357,61246.60370034933,62287.81817312443,68310.37538703924,57607.06721082812,68110.74063168952,57682.46849635221,79370.52932761087,59545.16214477618,43610.33640771643,76659.85635677668,77146.13332157269,82055.01618122977,65224.47108773792,80777.62568902371,52550.02648638669,71309.34648692749,70494.41401442947,68879.9607800935,80900.54685713098,65439.14141719341,61579.223423784766,47609.81456673483,67430.36890104343,69274.61589653078,57837.49725036071,35154.213006418824,40340.594256833836,58387.643960360685,83548.73676311181,80914.57868188208,3420188.5974350735
543,51614.30475396457,21775.13794085687,41500.98213002444,101830.09142285604,52217.15706589307,19237.70343259517,25080.39288604992,23075.557823393363,27205.9242381088,27174.920319511923,25821.739395576154,36465.71038603178,48309.76697462748,26424.413784677683,21182.774137722357,27400.468384074942,49938.32599118943,52253.12218359727,30009.77338533627,27676.78407184981,27309.765149625466,26683.451816745655,25410.580946556234,33560.65680245185,26010.547409832194,28699.83117746366,28779.596325527236,33255.76576720167,46641.64815807613,19016.37650462365,27144.028075089722,25588.226005116383,30577.01478302337,26790.782154614597,22629.696920602226,29418.031862222837,33065.77873823017,53576.051779935275,45871.22765541698,57156.59798009692,29801.067392756016,28966.84905053106,26723.45148758536,27157.99165381258,28933.524629363943,35043.08625711558,37841.50687256067,27155.749841359375,27799.622061291797,25902.02829779231,23067.143395086816,41535.11391756976,18996.89201029989,31034.644015627855,49226.63220211791,50152.98106342512,1892718.9908686862
186817,51438.16675571421,41830.63078270227,14989.46006803047,17941.367780062166,49378.129004291884,26714.569426306534,52709.29494892044,18957.398543530468,59222.443748219885,54541.25611086298,38750.0326692047,25360.81260553976,44738.03036990812,51923.79855311499,50964.38887714677,50429.35206869633,44499.2657856094,48924.93884382645,48679.67957910505,61789.21170805606,37612.34192763253,48487.690889942074,53563.55121564671,50630.213724654444,60302.54606649518,45846.78913653449,47467.330831931686,55099.53618845731,43758.684449501634,56940.64162835151,38460.00811694771,46603.290907368224,57854.077253218886,60097.62742649563,60482.79772719382,60189.7694939898,56010.055348519265,53802.588996763756,45913.444141557906,52532.27775516999,38069.65143224921,66399.20359877546,60740.05260236952,51526.945749781786,57523.963986442934,60810.239180092096,22299.183931629206,46524.00761475006,61954.95252291693,62787.5350828969,45293.549625862644,37967.78261323018,36634.39802591845,56478.80078734466,45411.906945718336,54563.24595496017,2690422.91111016
41297,44457.23075839151,101005.41213457542,274879.62918602984,260046.87178246788,39774.97368182879,144414.48965064986,53398.37682934832,35862.65037521007,28649.957277129026,49385.191734497625,65756.5752219328,49831.32033684427,57710.9430094925,86690.9268616209,13033.746836403445,66949.6487119438,59941.26284875184,40144.199819750225,14271.882792448005,23708.272466590923,19153.87348163602,74142.64086361243,6494.8901259011245,15364.630903813757,34277.23671148148,53505.56761430815,69672.6614050977,12479.877592005229,58217.267147342965,1833.9618742573746,5618.201061569436,3928.8759751129082,2784.9308536003814,3322.3597078745224,1475.4724404892784,3133.578170241035,16571.47897417804,1197.411003236246,45322.413335584875,1387.2960674780807,4981.511294243913,1646.6942612704995,2587.891803199575,3987.7557365091893,3508.8266483687853,2260.064538741374,11631.67394289064,2943.6649509976733,2095.0950128522636,2505.7145337229827,3620.203044549749,8798.627110769785,3278.6319476799363,18087.2456115738,3356.1244059034434,1419.5540119628433,2016507.4664799643
41294,38820.814814379904,59660.07996877209,95254.63517462752,37177.102774718005,34601.84536824004,133161.82501293786,51724.89226259488,33788.318293501354,16288.806607804047,22620.44742606957,58734.87415822349,35279.250378011675,67644.83544136822,60153.06612212129,48390.15613399017,59679.93754879001,83130.69016152716,33957.77005278743,8270.841515879467,17621.598225396312,18647.437205681155,68037.45392311743,16247.015448831577,9356.796362824494,61239.92958552148,71005.46467373721,52852.89170655971,11945.93646897563,104361.09804264817,19140.362659503022,39876.49507014793,78249.06041752202,20772.532188841204,13622.431604041321,11925.289019013344,16369.812361339164,11378.420692848795,21715.210355987056,100993.89670228933,27616.44038326366,92019.05639443493,9019.393567413417,24039.041575175543,50432.853846061866,34656.81076248103,26268.718047884362,27120.003702389586,145667.34823380102,17752.55578117114,14663.927548392698,104320.38237695597,68557.94483791753,256887.52375090835,24298.425735797402,16843.158509130324,29617.685162215053,2713480.5921465633
2062,28880.760446451113,40279.78520261218,20660.662099362813,21540.100869121823,38131.57656563347,27652.447169645642,23111.587513398816,68949.35634695699,17935.061236115067,30799.660921164173,32843.440459285455,22811.303192957028,30730.12587327438,21720.728503983733,29283.02650285514,21828.64949258392,31289.280469897207,30417.14947856315,35800.732547199965,16958.827030244007,58088.99672706108,23499.210110584518,36550.6017477117,36168.787675820495,23560.064509700445,24182.210692878278,21801.009186181913,27390.382684369073,32407.356754450266,17606.033992870794,28154.66764282247,29788.712377222626,29680.495946590367,17694.02505013812,11884.785853980304,25532.394931123952,28335.795717656398,36035.598705501616,29810.87014208863,34885.871776848806,32834.49200490732,16466.942612704996,21227.951644427285,37315.708289988164,26765.849499927226,20286.194268863077,41254.64727025902,25685.68003948389,18691.533938191762,21428.77810248546,22427.735751276017,17455.035033326698,25329.828456607975,24243.158561522992,36344.117401817726,31960.638385843053,1584400.4254085403
31979,26062.55247444531,16964.351651597794,6150.289848129162,7004.618537561164,26122.868942652585,10309.182047301174,29444.57812875987,5877.7364267134035,24115.636570777555,25245.573897006325,16378.161290041555,9673.787879345295,25306.56560275592,20804.42617657582,18469.442502479393,20179.547228727555,26190.895741556535,26329.342088322388,18660.772188781615,27952.713304117297,12948.139413592146,20199.776197998945,18408.907409519004,20337.331790781223,23050.77740093812,15517.555779083652,21210.69996118515,23039.1609952025,21942.253197518574,16707.13436999535,19703.492674852583,21526.703091936964,23729.136862184074,21069.360880917244,14957.240230057978,23063.135332974016,24366.57919689519,26699.02912621359,25987.26268303862,27838.407754060154,13574.488864501858,28330.626267767457,26053.857104939314,22724.826918248018,22617.636662300127,24637.12065360583,8534.779322154174,15166.04385531975,24689.256916160986,26932.091085327393,18613.65983513349,15230.489897696996,13453.894957233986,21911.308939252875,21012.257150004167,27178.257394084732,1140205.722700324
641,19204.913075897864,9125.723991686624,6117.35256072438,6759.4732317669095,19458.774549733007,37498.29519234901,16067.63940235819,5452.05464256596,16348.618627171747,13462.888186019378,11978.708390322945,10190.679758808315,19431.4647671522,13220.933581171295,14767.966789687895,14529.664324746293,18525.697503671072,19402.600746749067,16176.322832272264,15887.572363793759,8904.207956340659,15542.719852553975,15454.590478691485,18632.405772392376,17230.880513125212,12011.694048858537,15291.434855738129,13874.499928276566,18895.173907810808,11386.061889755643,17371.859656382545,12772.005179547106,17472.579876013355,13713.24781473493,11421.892539317001,15793.233978014816,19768.903393680124,21666.666666666668,18629.53224133356,19052.199326698978,14854.808012520209,16466.942612704996,17439.615857925342,13891.379990673315,16088.619965483542,17923.39952381528,7458.772349320457,15247.126841993937,18239.65070012559,18136.04930412893,13589.74263376296,11928.63441135478,10978.623703166852,14739.330246874215,19657.300091720168,32677.306430717494,877810.4370708687
2762318,18212.66901908749,10407.545338495785,4680.0891103339245,5494.523453868556,16919.84509195879,7353.559358132913,14941.045216896724,5935.973022590253,18444.887496439762,16051.554567082008,11760.913692317075,4664.903225331749,16833.83814553812,14259.409552233596,17450.588279924777,14558.938329430133,16552.129221732746,17818.977726277844,13632.502443346335,19645.079262024563,12260.293128340023,14473.077935755662,16154.873010443194,14765.877123546246,16972.546472448674,11535.226263374921,15776.620520119033,16249.34253518433,16356.852919616187,13576.483959291212,13544.161765993173,16100.811672930551,19189.318073438244,16793.430960759826,12272.45900501082,19102.29252578935,19206.59771990562,17605.177993527508,15963.862687863362,18571.270023306573,11955.972205686205,20703.437848519097,20262.77055232488,16243.976515885259,17616.908905661945,18298.06262916813,8608.055782669731,14252.978918423465,19413.373396401366,22007.465061774834,12693.080602646363,9315.356827943226,10976.706374542478,17064.80288749729,20313.9331276578,18578.24085559139,840394.6703420808
84566,16527.615502492354,7785.877810248241,5368.777846979351,5036.9188830526155,16191.034196950428,10667.892259893022,14951.983024522564,7677.524556431261,87815.43719737967,45681.45427145145,34838.43989301925,4263.898137349761,15753.1848830307,20621.16571109424,18585.05716603169,19233.021077283374,17039.64757709251,18288.9146388567,12417.67978005316,77744.41378564086,12887.669410493058,21203.593996840442,20622.6294917999,26162.495686943108,43141.784792982166,23105.746436785666,20345.452193039204,14806.904575955117,14431.230100985787,11448.05496719533,10949.921615750061,13144.679910305404,20219.36099189318,13682.975744503728,11323.52770995105,16595.42998959652,16747.888597322984,16715.210355987052,14962.72887366415,17868.37334911768,10280.514129236311,77454.5100710324,16305.528074705016,23890.6625533594,15428.440729420081,15379.316179403198,9950.17200684942,19421.137982091237,16009.57757720161,16579.38138364052,10845.695835834418,7458.21126186345,14882.304782392788,85536.580492388,17708.24647711165,16552.275421042476,1190538.151947537
