taxonomy_id,012025_COL_SAN_T5_568_OFAV_S1_K_filt.bracken_num,012025_COL_SAN_T5_569_DLAB_S2_K_filt.bracken_num,012025_COL_SAN_T5_570_DLAB_S3_K_filt.bracken_num,012025_COL_SAN_T5_571_DLAB_S4_K_filt.bracken_num,012025_COL_SAN_T5_572_OFAV_S5_K_filt.bracken_num,012025_COL_SAN_T5_573_PSTR_S6_K_filt.bracken_num,012025_COL_SAN_T5_574_MCAV_S7_K_filt.bracken_num,012025_COL_SAN_T5_575_DLAB_S8_K_filt.bracken_num,012025_COL_SAN_T5_576_PSTR_S9_K_filt.bracken_num,012025_COL_SAN_T5_577_PSTR_S10_K_filt.bracken_num,012025_COL_SAN_T5_578_MCAV_S11_K_filt.bracken_num,012025_COL_SAN_T5_579_DLAB_S12_K_filt.bracken_num,012025_COL_SAN_T5_580_OFAV_S13_K_filt.bracken_num,012025_COL_SAN_T5_581_MCAV_S14_K_filt.bracken_num,012025_COL_SAN_T5_582_PSTR_S15_K_filt.bracken_num,012025_COL_SAN_T5_583_MCAV_S16_K_filt.bracken_num,012025_COL_SAN_T5_584_OFAV_S17_K_filt.bracken_num,012025_COL_SAN_T5_585_OFAV_S18_K_filt.bracken_num,012025_COL_SAN_T5_586_DLAB_S19_K_filt.bracken_num,012025_COL_SAN_T5_587_PSTR_S20_K_filt.bracken_num,012025_COL_SAN_T5_588_MCAV_S21_K_filt.bracken_num,012025_COL_SAN_T5_589_MCAV_S22_K_filt.bracken_num,012025_COL_SAN_T5_590_PSTR_S23_K_filt.bracken_num,012025_COL_SAN_T5_591_MCAV_S24_K_filt.bracken_num,012025_COL_SAN_T5_592_PSTR_S25_K_filt.bracken_num,012025_COL_SAN_T5_593_MCAV_S26_K_filt.bracken_num,012025_COL_SAN_T5_594_MCAV_S27_K_filt.bracken_num,012025_COL_SAN_T5_595_MCAV_S28_K_filt.bracken_num,012025_COL_SAN_T5_596_OFAV_S29_K_filt.bracken_num,032024_COL_SAN_T5_128_MCAV_S1_K_filt.bracken_num,032024_COL_SAN_T5_129_MCAV_S2_K_filt.bracken_num,032024_COL_SAN_T5_130_MCAV_S37_K_filt.bracken_num,032024_COL_SAN_T5_131_MCAV_S3_K_filt.bracken_num,032024_COL_SAN_T5_132_MCAV_S4_K_filt.bracken_num,032024_COL_SAN_T5_133_MCAV_S5_K_filt.bracken_num,032024_COL_SAN_T5_134_MCAV_S6_K_filt.bracken_num,032024_COL_SAN_T5_136_MCAV_S7_K_filt.bracken_num,032024_COL_SAN_T5_139_OFAV_S17_K_filt.bracken_num,032024_COL_SAN_T5_140_OFAV_S18c_K_filt.bracken_num,032024_COL_SAN_T5_141_OFAV_S19_K_filt.bracken_num,032024_COL_SAN_T5_143_DLAB_S40_K_filt.bracken_num,032024_COL_SAN_T5_144_PSTR_S9_K_filt.bracken_num,032024_COL_SAN_T5_146_DLAB_S12_K_filt.bracken_num,032024_COL_SAN_T5_147_PSTR_S10_K_filt.bracken_num,032024_COL_SAN_T5_148_DLAB_S13_K_filt.bracken_num,032024_COL_SAN_T5_149_DLAB_S14_K_filt.bracken_num,032024_COL_SAN_T5_150_MCAV_S8_K_filt.bracken_num,032024_COL_SAN_T5_154_PSTR_S38_K_filt.bracken_num,032024_COL_SAN_T5_158_DLAB_S15_K_filt.bracken_num,032024_COL_SAN_T5_159_DLAB_S16_K_filt.bracken_num,032024_COL_SAN_T5_160_DLAB_S41_K_filt.bracken_num,032024_COL_SAN_T5_161_DLAB_S42_K_filt.bracken_num,032024_COL_SAN_T5_162_PSTR_S39_K_filt.bracken_num,032024_COL_SAN_T5_163_PSTR_S11c_K_filt.bracken_num,032024_COL_SAN_T5_166_OFAV_S20_K_filt.bracken_num,032024_COL_SAN_T5_167_OFAV_S21_K_filt.bracken_num
3379134,98123,116911,256304,219050,118197,385171,50870,512974,200163,186816,73016,383436,116264,66596,300360,53362,102377,89612,120709,201109,82303,70476,467733,53584,154351,90878,68537,66996,112960,75351,81513,89090,28103,58882,57381,40505,46609,34210,98692,29200,371520,70718,87023,187635,104850,90011,189545,170738,91463,88441,309319,565185,344546,273782,58799,40257
1783272,53125,55416,63772,73268,66983,118786,29423,180947,107539,104184,31668,132450,58300,34139,180259,37925,49315,47567,68557,117083,39597,36156,286626,34592,84466,63109,38269,42359,50920,103509,33384,50048,18080,58961,102433,28754,31680,20741,48458,18711,161266,44472,55724,108857,62203,53490,57861,81042,55836,59648,164541,213516,128265,141518,28449,24263
4751,13956,11708,10012,9799,18126,22152,8867,19026,31305,27663,7601,19946,16851,10801,52850,9157,13599,13383,21739,37152,8154,11457,81063,8213,23731,11946,12872,12024,13860,10562,8511,14115,5296,10721,9618,8217,9650,5762,13830,5238,32271,13898,17210,27219,19100,16445,8359,23618,16555,18100,41587,45852,34681,39387,6969,6372
3366610,2491,2040,1615,1902,3012,4032,1168,4881,4699,4134,1677,3036,2462,1443,7940,1176,2387,2122,3013,5171,1338,1697,13527,1489,3267,2250,2133,1624,2445,1872,1211,1921,819,1565,1526,1272,1356,908,2315,799,5887,2051,2618,4828,2646,2289,1821,3972,2745,2467,5779,7160,5388,5917,1175,1061
3384189,1094,1740,1115,903,1252,1837,745,1225,2581,2164,880,1489,1134,1118,3871,731,1030,1034,2165,3440,755,1120,5650,705,1947,1047,1009,1342,1062,1660,861,2145,627,1231,1470,824,1002,458,1066,355,2768,1280,1298,1996,1414,1366,1019,1494,1525,1775,4507,3881,2909,3245,548,562
1783275,766,1675,472,452,1054,1559,586,612,1854,2131,428,1195,904,540,2829,460,730,660,1530,2322,354,570,4297,439,1719,528,645,717,765,605,433,664,247,652,509,428,496,259,708,253,1952,757,1067,1836,1079,934,451,1165,1048,1395,3337,3263,2201,2444,400,354
2731360,739,332,995,908,1027,1333,252,805,1363,972,226,1694,894,360,2177,330,695,862,764,1348,290,364,3774,232,985,379,456,409,772,367,310,470,203,350,266,303,297,314,655,316,1627,542,800,1075,919,711,332,1185,798,922,2159,2364,1515,1765,372,370
2732005,565,226,185,221,456,343,312,333,699,597,216,297,613,237,1014,274,433,471,348,915,230,342,1408,225,460,350,355,455,427,287,321,425,196,351,275,271,326,143,413,163,773,310,432,582,502,342,258,341,524,451,872,847,563,910,222,208
3384194,469,537,598,581,728,1207,331,1722,1396,1218,321,1151,685,390,2303,322,466,519,966,1568,412,420,3533,335,1014,462,446,522,535,585,410,514,186,539,507,362,345,174,459,239,1884,611,657,1258,731,874,696,945,764,664,4896,2226,1983,1832,313,239
2732396,111,95,82,100,143,197,121,175,390,238,95,91,183,119,522,107,115,101,160,419,81,135,784,79,311,98,112,119,102,133,83,155,51,136,118,102,103,47,113,59,329,176,167,240,184,213,77,226,194,150,333,371,305,492,72,43
1935183,79,16,15,16,129,34,38,30,98,83,39,19,104,40,135,39,91,76,51,88,23,31,196,20,72,39,35,45,71,36,25,53,12,31,47,53,16,28,94,37,104,38,60,80,62,55,42,49,77,75,131,146,78,134,35,33
2840023,13,18,0,0,0,0,0,0,0,0,0,0,11,23,0,0,14,0,34,0,0,15,0,0,0,0,45,0,16,0,0,0,0,10,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2732092,10,0,0,0,26,45,25,0,44,29,0,354,13,35,131,11,22,17,20,110,15,20,278,16,49,27,14,44,27,42,17,11,0,28,32,20,15,19,24,0,24,38,17,39,14,21,0,49,12,21,39,50,66,70,13,0
