# Pathway	012025_COL_SAN_T5_568_OFAV_S1_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_569_DLAB_S2_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_570_DLAB_S3_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_571_DLAB_S4_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_572_OFAV_S5_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_573_PSTR_S6_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_574_MCAV_S7_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_575_DLAB_S8_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_576_PSTR_S9_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_577_PSTR_S10_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_578_MCAV_S11_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_579_DLAB_S12_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_580_OFAV_S13_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_581_MCAV_S14_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_582_PSTR_S15_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_583_MCAV_S16_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_584_OFAV_S17_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_585_OFAV_S18_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_586_DLAB_S19_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_587_PSTR_S20_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_588_MCAV_S21_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_589_MCAV_S22_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_590_PSTR_S23_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_591_MCAV_S24_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_592_PSTR_S25_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_593_MCAV_S26_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_594_MCAV_S27_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_595_MCAV_S28_comb_kraken_filtered_Abundance	012025_COL_SAN_T5_596_OFAV_S29_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_128_MCAV_S1_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_129_MCAV_S2_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_130_MCAV_S37_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_131_MCAV_S3_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_132_MCAV_S4_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_133_MCAV_S5_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_134_MCAV_S6_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_136_MCAV_S7_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_139_OFAV_S17_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_140_OFAV_S18c_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_141_OFAV_S19_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_143_DLAB_S40_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_144_PSTR_S9_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_146_DLAB_S12_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_147_PSTR_S10_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_148_DLAB_S13_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_149_DLAB_S14_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_150_MCAV_S8_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_154_PSTR_S38_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_158_DLAB_S15_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_159_DLAB_S16_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_160_DLAB_S41_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_161_DLAB_S42_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_162_PSTR_S39_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_163_PSTR_S11c_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_166_OFAV_S20_comb_kraken_filtered_Abundance	032024_COL_SAN_T5_167_OFAV_S21_comb_kraken_filtered_Abundance
UNMAPPED	4165052.4660916035	1860256.5038677931	2155351.3427328123	1827230.6898893102	6264795.4070244553	5680843.4195952052	2261757.8171502226	3299658.6338190227	6270263.2917896146	8398396.6369572040	1900684.1790645402	3019357.0200922661	3865760.1885030405	3834984.9982805080	10412340.1604040209	1964926.2931568283	4624500.4871942652	4633663.7644663127	2704332.4041497842	11820168.0862409770	1936604.8497354717	1858867.9525936008	14939407.3649573047	1808541.2979224534	7440528.4144388624	2659334.2913786429	3532901.4133782801	1661431.5746023518	4204836.0106510837	1702223.7023683921	1168503.4655852434	1555499.0784537515	785447.8789352063	2031808.6088580950	1693363.5595257503	2189801.1447587446	2136012.4669772098	0.0000000000	3808833.9595177388	0.0000000000	7706394.7499039695	0.0000000000	2413484.5014671423	4037293.0657888129	2520693.0234667137	3119304.0797282993	2048084.1805956613	2461431.3685129578	3853024.0075016478	0.0000000000	7133490.8315593135	5975618.4364058850	7143066.8616149705	13633745.3166356049	2965352.2883944847	0.0000000000
UNINTEGRATED	270374.5756441145	40390.8119791390	170069.9023136700	144154.5293213391	388520.8162077157	239000.0075967560	58356.0816007470	392528.1849585818	124796.1380137514	200839.4787157319	52612.1281213146	403133.7772208122	240812.8074157568	102905.7587852680	219513.1282517708	61765.2353143554	297841.8608821598	278704.1418378119	39866.3943608940	251842.2121175300	74352.2376686620	46737.1670693714	373968.9939535621	51967.2680054772	170588.0813036120	121389.2400747523	87338.8047459094	43778.1989656168	275789.3572921699	162099.6343384581	32539.5773405230	27955.4415152926	15564.6125720822	85198.5169917986	177603.2117949791	45160.2198356821	41631.1745816091	0.0000000000	250266.2755853633	0.0000000000	266107.6036933657	0.0000000000	40352.4161971511	84590.2077849057	51898.3074367784	60544.7510085791	137808.8358364859	51083.9379320201	68043.2478699235	0.0000000000	153790.1639683732	461833.7935964874	189649.0924504003	332239.1015792916	200482.2233306279	0.0000000000
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36828.1919915112	0	0	0
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	0	0	0	15387.1951083834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Moraxella.s__Moraxella_osloensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7522.0257128238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|unclassified	270374.5756441145	40390.8119791390	170069.9023136700	124926.0467899753	388520.8162077157	239000.0075967560	58356.0816007470	392528.1849585818	124796.1380137514	200839.4787157319	52612.1281213146	403133.7772208122	240812.8074157568	102905.7587852680	132241.3402354293	61765.2353143554	297841.8608821598	278704.1418378119	39866.3943608940	251842.2121175300	74352.2376686620	46737.1670693714	373968.9939535621	51967.2680054772	170588.0813036120	121389.2400747523	87338.8047459094	43778.1989656168	275789.3572921699	162099.6343384581	32539.5773405230	27955.4415152926	15564.6125720822	85198.5169917986	177603.2117949791	45160.2198356821	41631.1745816091	0	250266.2755853633	0	266107.6036933657	0	40352.4161971511	84590.2077849057	51898.3074367784	60544.7510085791	137808.8358364859	51083.9379320201	68043.2478699235	0	153790.1639683732	461833.7935964874	114333.9805761813	332239.1015792916	200482.2233306279	0
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	0	0	0	5.8525398318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5090793774	0	0	0	0	0	0	0	0	0	0	11.9170273757	0	0	0	0
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation|unclassified	0	0	0	0	0	5.8525398318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5090793774	0	0	0	0	0	0	0	0	0	0	11.9170273757	0	0	0	0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	0	0	0	0	0	0	0	0	0	0	0	14.0581637677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5111535649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation|unclassified	0	0	0	0	0	0	0	0	0	0	0	14.0581637677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5111535649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
