"","Pathway","OFAV_032024","OFAV_012025","MCAV_032024","MCAV_012025","DLAB_032024","DLAB_012025","PSTR_032024","PSTR_012025"
"7","12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0,0,0,0,22.42610676,0,0,5.852539832
"9","14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation",0,0,0,0,27.51115356,14.05816377,0,0
"11","1CMET2-PWY: folate transformations III (E. coli)",0,0,14.09568763,0,157.14099121,298.22021675,30.61857246,19.79317864
"15","ANAEROFRUCAT-PWY: homolactic fermentation",0,0,84.82048508,16.82042102,48.70285667,95.34655688,0,18.35070109
"17","ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0,0,187.39269222,34.52670726,127.94512137,274.91683663,0,45.63883363
"19","ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0,0,0,0,0,0,0,18.08326148
"21","ARGININE-SYN4-PWY: L-ornithine biosynthesis II",4.091661032,0,19.2191626,0,56.32672932,157.34853157,22.867125569,42.521358005
"24","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0,0,223.29933054,26.06055589,746.01618265,800.023065962,40.89558046,130.62226666
"28","ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0,0,203.84769716,33.158027278,218.35671755,369.565958413,43.65981412,107.4771132
"31","ARO-PWY: chorismate biosynthesis I",0,0,113.921761138,20.35769768,180.61147558,461.089112282,37.689398929,121.516511547
"34","ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0,0,9.177835149,3.481645994,20.95841412,28.292789167,20.97069632,17.24715076
"36","AST-PWY: L-arginine degradation II (AST pathway)",0,0,6.237224433,0,0,0,0,5.783885665
"38","BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0,0,0,0,77.92101863,41.5357347,0,15.60641217
"40","BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0,50.755747545,332.427493651,74.443262204,1353.12347362,1492.80381975,78.96243156,246.33338643
"44","CALVIN-PWY: Calvin-Benson-Bassham cycle",0,21.75578855,187.91398139,37.81720232,281.803995029,644.17789893,76.03111167,150.062613439
"47","CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",0,0,0,0,25.661271648,8.65389967,20.25044025,0
"49","CENTFERM-PWY: pyruvate fermentation to butanoate",0,0,0,0,0,13.67092142,0,0
"51","CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,197.43988383,34.85927625,9.678608045,20.12305185,0,0
"53","CITRULBIO-PWY: L-citrulline biosynthesis",0,0,89.67735375,17.71547324,60.93767808,172.362495138,33.81838426,56.37837465
"56","COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0,0,24.54921836,10.10441886,96.30183838,263.91134379,29.65544328,36.62963395
"60","COA-PWY: coenzyme A biosynthesis I (prokaryotic)",12.21994895,8.415631006,151.85031724,30.43118479,398.707793249,599.147334352,55.828153524,124.886286216
"64","COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I",0,0,0,0,31.71338782,72.14095169,0,0
"66","COLANSYN-PWY: colanic acid building blocks biosynthesis",0,0,17.59469803,0,87.48874511,84.18850767,0,14.35450963
"68","COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0,0,89.56191184,19.56688107,177.68267408,419.814821209,0,121.47560495
"70","CRNFORCAT-PWY: creatinine degradation I",0,0,19.07523889,0,60.348486187,72.782332767,0,6.477892277
"72","DAPLYSINESYN-PWY: L-lysine biosynthesis I",0,0,83.12228599,16.50986432,189.3743719,294.26288645,32.41704621,69.27361489
"75","DARABCATK12-PWY: D-arabinose degradation I",0,0,0,0,0,6.253913257,0,0
"77","DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0,0,199.51204731,8.01613206,122.872533046,193.73510248,9.783629197,107.061969512
"79","FAO-PWY: fatty acid &beta;-oxidation I (generic)",0,0,106.815135465,13.556362587,51.97259207,110.914258336,41.373047228,106.08217724
"82","FASYN-ELONG-PWY: fatty acid elongation -- saturated",23.17994344,14.048183082,294.42326654,48.642661529,719.40373009,944.952580321,67.55119159,210.296821942
"86","FERMENTATION-PWY: mixed acid fermentation",0,0,58.66472864,52.900752329,158.05643914,463.56089634,49.537595103,76.345728256
"88","FUCCAT-PWY: fucose degradation",0,0,18.46689674,0,0,31.67961067,0,0
"90","GALACTARDEG-PWY: D-galactarate degradation I",0,0,0,0,0,6.866311137,0,0
"92","GALACTUROCAT-PWY: D-galacturonate degradation I",0,0,0,0,18.54467156,7.402643809,0,0
"94","GALLATE-DEGRADATION-I-PWY: gallate degradation II",0,0,0,0,0,17.476440328,0,22.18028895
"96","GALLATE-DEGRADATION-II-PWY: gallate degradation I",0,0,0,0,0,31.960430888,0,33.47910851
"98","GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0,0,0,0,0,0,0,4.170924216
"100","GLUCARDEG-PWY: D-glucarate degradation I",0,0,0,0,0,11.00624758,0,0
"102","GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",0,0,0,0,0,6.866311137,0,0
"104","GLUCONEO-PWY: gluconeogenesis I",0,0,126.28928174,19.590835208,147.98975509,319.79280069,55.927256141,59.15480785
